ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
ps-1_dog-1-1,ps-1_dog-1,kalb-,1,false,expert,,,,
akkadian-1_dog-1-1,akkadian-1_dog-1,kalbu,1,false,expert,,,,
ugaritic-1_dog-1-1,ugaritic-1_dog-1,klb,1,false,expert,,,,
hebrew-1_dog-1-1,hebrew-1_dog-1,kælæb,1,false,expert,,,,
syriac-1_dog-1-1,syriac-1_dog-1,kalbaː,1,false,expert,,,,
arabic-1_dog-1-1,arabic-1_dog-1,kalb-,1,false,expert,,,,
geez-1_dog-1-1,geez-1_dog-1,kalb,1,false,expert,,,,
ps-2_all-1-1,ps-2_all-1,kal-,2,false,expert,,,,
akkadian-2_all-1-1,akkadian-2_all-1,kalû,2,false,expert,,,,
ugaritic-2_all-1-1,ugaritic-2_all-1,kl,2,false,expert,,,,
hebrew-3_allthewholeeveryone-1-1,hebrew-3_allthewholeeveryone-1,koːl,2,false,expert,,,,
syriac-4_alleverysomuch-1-1,syriac-4_alleverysomuch-1,kul,2,false,expert,,,,
arabic-5_allanyone-1-1,arabic-5_allanyone-1,kull-,2,false,expert,,,,
geez-2_all-1-1,geez-2_all-1,kʷəll,2,false,expert,,,,
ps-6_toassemble-1-1,ps-6_toassemble-1,pxr,3,false,expert,,,,
akkadian-7_toassembletocongregatetogathercollect-1-1,akkadian-7_toassembletocongregatetogathercollect-1,paxaːru,3,false,expert,,,,
ugaritic-8_assembly-1-1,ugaritic-8_assembly-1,pxr,3,false,expert,,,,
ugaritic-9_wholetotality-1-1,ugaritic-9_wholetotality-1,pxjr,3,false,expert,,,,
syriac-10_banquet-1-1,syriac-10_banquet-1,puħraː,3,false,expert,,,,
arabic-11_toboasttoglory-1-1,arabic-11_toboasttoglory-1,fxr,3,false,expert,,,,
arabic-12_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein-1-1,arabic-12_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein-1,faxuːr-,3,false,expert,,,,
geez-13_toengagetobetrothtoespouse-1-1,geez-13_toengagetobetrothtoespouse-1,faxara,3,false,expert,,,,
ps-14_tobite-1-1,ps-14_tobite-1,nθk,4,false,expert,,,,
akkadian-14_tobite-1-1,akkadian-14_tobite-1,naʃaːku,4,false,expert,,,,
ugaritic-14_tobite-1-1,ugaritic-14_tobite-1,nθk,4,false,expert,,,,
hebrew-14_tobite-1-1,hebrew-14_tobite-1,nʃk,4,false,expert,,,,
syriac-15_tobitetoinciteprovoke-1-1,syriac-15_tobitetoinciteprovoke-1,nkt,4,false,expert,,,,
arabic-16_toundotountwisttodissolvetobreakacovenant-1-1,arabic-16_toundotountwisttodissolvetobreakacovenant-1,nkθ,4,false,expert,,,,
geez-14_tobite-1-1,geez-14_tobite-1,nasaka,4,false,expert,,,,
ps-17_blood-1-1,ps-17_blood-1,dam-,5,false,expert,,,,
akkadian-17_blood-1-1,akkadian-17_blood-1,damu,5,false,expert,,,,
ugaritic-17_blood-1-1,ugaritic-17_blood-1,dm,5,false,expert,,,,
hebrew-17_blood-1-1,hebrew-17_blood-1,daːm,5,false,expert,,,,
syriac-17_blood-1-1,syriac-17_blood-1,dmaː,5,false,expert,,,,
arabic-17_blood-1-1,arabic-17_blood-1,dam-,5,false,expert,,,,
geez-17_blood-1-1,geez-17_blood-1,dam,5,false,expert,,,,
ps-18_todie-1-1,ps-18_todie-1,mwt,6,false,expert,,,,
akkadian-18_todie-1-1,akkadian-18_todie-1,mâtu,6,false,expert,,,,
ugaritic-18_todie-1-1,ugaritic-18_todie-1,mt,6,false,expert,,,,
hebrew-18_todie-1-1,hebrew-18_todie-1,mwt,6,false,expert,,,,
syriac-18_todie-1-1,syriac-18_todie-1,mwt,6,false,expert,,,,
geez-18_todie-1-1,geez-18_todie-1,mota,6,false,expert,,,,
ps-19_todrink-1-1,ps-19_todrink-1,ʃtj,7,false,expert,,,,
akkadian-19_todrink-1-1,akkadian-19_todrink-1,ʃatû,7,false,expert,,,,
ugaritic-19_todrink-1-1,ugaritic-19_todrink-1,ʃtj,7,false,expert,,,,
hebrew-19_todrink-1-1,hebrew-19_todrink-1,ʃtj,7,false,expert,,,,
syriac-20_todrinktobewateredtobeirrigated-1-1,syriac-20_todrinktobewateredtobeirrigated-1,ʃtj,7,false,expert,,,,
syriac-19_todrink-1-1,syriac-19_todrink-1,ʃtj,7,false,expert,,,,
geez-19_todrink-1-1,geez-19_todrink-1,satja,7,false,expert,,,,
ps-21_toirrigatetoquenchonesthirst-1-1,ps-21_toirrigatetoquenchonesthirst-1,ʃqˤj,9,false,expert,,,,
akkadian-22_togivedrinktowatertoirrigate-1-1,akkadian-22_togivedrinktowatertoirrigate-1,ʃaqˤû,9,false,expert,,,,
hebrew-23_niphiptoprovidedrinkfortoirrigate-1-1,hebrew-23_niphiptoprovidedrinkfortoirrigate-1,ʃqˤj,9,false,expert,,,,
syriac-24_aphtogivedrinktoirrigate-1-1,syriac-24_aphtogivedrinktoirrigate-1,ʃqˤj,9,false,expert,,,,
geez-25_toprovideenoughwater-1-1,geez-25_toprovideenoughwater-1,saqˤaja,9,false,expert,,,,
ps-26_nailclaw-1-1,ps-26_nailclaw-1,θˤipr-,10,false,expert,,,,
akkadian-27_claw-1-1,akkadian-27_claw-1,sˤupru,10,false,expert,,,,
hebrew-28_nail-1-1,hebrew-28_nail-1,sˤippoːræn,10,false,expert,,,,
syriac-29_nailclawtalon-1-1,syriac-29_nailclawtalon-1,tˤepraː,10,false,expert,,,,
arabic-28_nail-1-1,arabic-28_nail-1,ðˤifr-,10,false,expert,,,,
geez-27_claw-1-1,geez-27_claw-1,sˤəfr,10,false,expert,,,,
ps-30_ear-1-1,ps-30_ear-1,ʔuðn-,14,false,expert,,,,
akkadian-30_ear-1-1,akkadian-30_ear-1,uznu,14,false,expert,,,,
ugaritic-30_ear-1-1,ugaritic-30_ear-1,ʔudn,14,false,expert,,,,
hebrew-30_ear-1-1,hebrew-30_ear-1,ʔoːzæn,14,false,expert,,,,
syriac-31_earbayoftheseahandleopeningofabottle-1-1,syriac-31_earbayoftheseahandleopeningofabottle-1,ʔednaː,14,false,expert,,,,
arabic-30_ear-1-1,arabic-30_ear-1,ʔuðn-,14,false,expert,,,,
geez-30_ear-1-1,geez-30_ear-1,ʔəzn,14,false,expert,,,,
ps-32_toeat-1-1,ps-32_toeat-1,ʔkl,15,false,expert,,,,
akkadian-32_toeat-1-1,akkadian-32_toeat-1,akaːlu,15,false,expert,,,,
ugaritic-33_toconsumetodevour-1-1,ugaritic-33_toconsumetodevour-1,ʔkl,15,false,expert,,,,
hebrew-32_toeat-1-1,hebrew-32_toeat-1,ʔkl,15,false,expert,,,,
syriac-34_toeattoconsumetoitch-1-1,syriac-34_toeattoconsumetoitch-1,ʔkl,15,false,expert,,,,
arabic-32_toeat-1-1,arabic-32_toeat-1,ʔkl,15,false,expert,,,,
ps-35_foodbreadgrain-1-1,ps-35_foodbreadgrain-1,ʔukl-,17,false,expert,,,,
akkadian-36_bread-1-1,akkadian-36_bread-1,akalu,17,false,expert,,,,
ugaritic-37_grainfodder-1-1,ugaritic-37_grainfodder-1,ʔakl,17,false,expert,,,,
geez-38_foodbreadcorn-1-1,geez-38_foodbreadcorn-1,ʔəkl,17,false,expert,,,,
ps-39_eye-1-1,ps-39_eye-1,ʕajn-,19,false,expert,,,,
akkadian-39_eye-1-1,akkadian-39_eye-1,iːnu,19,false,expert,,,,
ugaritic-39_eye-1-1,ugaritic-39_eye-1,ʕn,19,false,expert,,,,
