ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ps-1_dog-1,,ps,1_dog,*kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
akkadian-1_dog-1,,akkadian,1_dog,kalbu,kalbu,k a l b u,,,1,,^ k a l b u $,default
ugaritic-1_dog-1,,ugaritic,1_dog,klb,klb,k l b,,,1,,^ k l b $,default
hebrew-1_dog-1,,hebrew,1_dog,käläb,kælæb,k æ l æ b,,,1,,^ k æ l æ b $,default
syriac-1_dog-1,,syriac,1_dog,kalbā,kalbaː,k a l b aː,,,1,,^ k a l b aː $,default
arabic-1_dog-1,,arabic,1_dog,kalb-,kalb-,k a l b,,,1,,^ k a l b - $,default
geez-1_dog-1,,geez,1_dog,kalb,kalb,k a l b,,,1,,^ k a l b $,default
ps-2_all-1,,ps,2_all,*kal-/*kull-,kal-,k a l,,,2,,^ k a l - $,default
akkadian-2_all-1,,akkadian,2_all,kalû,kalû,k a l û,,,2,,^ k a l û $,default
ugaritic-2_all-1,,ugaritic,2_all,kl,kl,k l,,,2,,^ k l $,default
hebrew-3_allthewholeeveryone-1,,hebrew,3_allthewholeeveryone,kōl,koːl,k oː l,,,2,,^ k oː l $,default
syriac-4_alleverysomuch-1,,syriac,4_alleverysomuch,kul,kul,k u l,,,2,,^ k u l $,default
arabic-5_allanyone-1,,arabic,5_allanyone,kull-,kull-,k u l l,,,2,,^ k u l l - $,default
geez-2_all-1,,geez,2_all,kʷəll,kʷəll,kʷ ə l l,,,2,,^ kʷ ə l l $,default
ps-6_toassemble-1,,ps,6_toassemble,*pḫr,pxr,p x r,,,3,,^ p x r $,default
akkadian-7_toassembletocongregatetogathercollect-1,,akkadian,7_toassembletocongregatetogathercollect,paḫāru,paxaːru,p a x aː r u,,,3,,^ p a x aː r u $,default
ugaritic-8_assembly-1,,ugaritic,8_assembly,pḫr,pxr,p x r,,,3,,^ p x r $,default
ugaritic-9_wholetotality-1,,ugaritic,9_wholetotality,pḫyr,pxjr,p x j r,,,3,,^ p x j r $,default
syriac-10_banquet-1,,syriac,10_banquet,puḥrā,puħraː,p u ħ r aː,,,3,,^ p u ħ r aː $,default
arabic-11_toboasttoglory-1,,arabic,11_toboasttoglory,fḫr,fxr,f x r,,,3,,^ f x r $,default
