ID,Name,Concepticon_ID,Concepticon_Gloss
1_dog,dog,2009,DOG
2_all,all,98,ALL
3_allthewholeeveryone,"all, the whole; everyone",98,ALL
4_alleverysomuch,"all, every; so much",98,ALL
5_allanyone,"all, anyone",98,ALL
6_toassemble,to assemble,3638,ASSEMBLE (GET TOGETHER)
7_toassembletocongregatetogathercollect,"to assemble, to congregate; to gather, collect",7,GATHER
8_assembly,assembly,,
9_wholetotality,"whole, totality",2277,WHOLE
10_banquet,banquet,,
11_toboasttoglory,"to boast, to glory",101,BOAST
12_ashecamelgreatintheudderbuthavinglittlemilkapalmtreegreatinthetrunkthickinthebranchesahousegreatintheyardandlongtherein,"a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein",,
13_toengagetobetrothtoespouse,"to engage, to betroth, to espouse",,
14_tobite,to bite,1403,BITE
15_tobitetoinciteprovoke,"to bite; to incite, provoke",1403,BITE
16_toundotountwisttodissolvetobreakacovenant,"to undo, to untwist; to dissolve, to break a covenant",,
17_blood,blood,946,BLOOD
18_todie,to die,1494,DIE
19_todrink,to drink,1401,DRINK
20_todrinktobewateredtobeirrigated,"to drink, to be watered, to be irrigated",1401,DRINK
21_toirrigatetoquenchonesthirst,"to irrigate, to quench one’s thirst",3078,IRRIGATE
22_togivedrinktowatertoirrigate,"to give drink, to water, to irrigate",3078,IRRIGATE
23_niphiptoprovidedrinkfortoirrigate,"(nip., hip.) to provide drink for, to irrigate",3078,IRRIGATE
24_aphtogivedrinktoirrigate,"(aph.) to give drink, to irrigate",3078,IRRIGATE
25_toprovideenoughwater,to provide enough water,,
26_nailclaw,"nail, claw",72,CLAW
27_claw,claw,72,CLAW
28_nail,nail,1896,FINGERNAIL OR TOENAIL
29_nailclawtalon,"nail, claw, talon",72,CLAW
30_ear,ear,1247,EAR
31_earbayoftheseahandleopeningofabottle,"ear, bay of the sea, handle, opening of a bottle",1247,EAR
32_toeat,to eat,1336,EAT
33_toconsumetodevour,"to consume, to devour",2787,CONSUME (DRINK OR EAT)
34_toeattoconsumetoitch,"to eat, to consume; to itch",1336,EAT
35_foodbreadgrain,"food, bread, grain",256,FOOD
36_bread,bread,1368,BREAD
37_grainfodder,"grain, fodder",605,GRAIN
38_foodbreadcorn,"food, bread, corn",256,FOOD
39_eye,eye,1248,EYE
40_tosee,to see,1409,SEE
41_eyeappearancelookspring,"eye, appearance, look; spring",1248,EYE
42_eyespringbudbulbappearancesurface,"eye; spring; bud, bulb; appearance, surface",1248,EYE
43_full,full,1429,FULL
44_fullcoveredcomplete,"full, covered, complete",1429,FULL
45_tofillup,to fill up,,
46_hair,hair,1040,HAIR
47_wool,wool,964,WOOL
48_hairinessbodyhairhairycovering,"hairiness, body hair, hairy covering",189,HAIR (BODY)
49_hairfeathers,hair; feathers,1040,HAIR
50_hairofbodyorhead,hair of body or head,1256,HEAD
51_hand,hand,1277,HAND
52_armsideedgeborder,"arm; side; edge, border",1673,ARM
53_forearmhandpowerviolencepossession,"forearm, hand; power, violence, possession",1277,HAND
54_handarmforepawpower,"hand, arm, forepaw; power",1277,HAND
55_head,head,1256,HEAD
56_headservantslavetopsummitbeginning,"head; servant, slave; top, summit; beginning",1256,HEAD
57_headpersonbeginningleaderchief,"head; person; beginning; leader, chief",1256,HEAD
58_headtopsummitpointbeginning,"head; top, summit; point; beginning",1256,HEAD
59_skull,skull,1605,SKULL
60_skullcrown,"skull, crown",1605,SKULL
61_partofthebackoftheneckthatisbetweentheears,part of the back of the neck that is between the ears,,
62_tohear,to hear,1408,HEAR
63_toheartolistentoobey,"to hear, to listen, to obey",1408,HEAR
64_toheartoobeytounderstand,to hear; to obey; to understand,1408,HEAR
65_tohearlistentotohearkentoobey,"to hear, listen to; to hearken; to obey",1408,HEAR
66_heart,heart,1223,HEART
67_heartonesinnerselfinclinationdispositionwillintentionreason,"heart; one's inner self; inclination, disposition, will, intention; reason",1223,HEART
68_heartinsideofthebodycenterpithinsidecake,"heart, inside of the body; center, pith, inside; cake",1223,HEART
69_whatisintheinsideunderstandingintelligencemind,"what is in the inside; understanding, intelligence, mind",1562,MIND
70_heartmind,heart; mind,1223,HEART
71_heartmiddleofthebody,"heart, middle of the body",1223,HEART
72_middlecentermiddlepart,"middle, center, middle part",1093,MIDDLE
73_thoughtwish,"thought, wish",2975,THOUGHT
74_horn,horn,1393,HORN (ANATOMY)
75_i,I,1209,I
76_knee,knee,1371,KNEE
77_kneelap,"knee, lap",1371,KNEE
78_kneebowingdowngenuflectionmiddlepartofplow,"knee; bowing down, genuflection; middle part of plow",1371,KNEE
79_tokneel,to kneel,66,KNEEL
80_liver,liver,1224,LIVER
81_emotionsthoughtmindspirit,"emotions, thought, mind, spirit",1562,MIND
82_liveranger,liver; anger,1224,LIVER
83_middleinterior,"middle, interior",1093,MIDDLE
84_liverstomachbelly,"liver, stomach, belly",1224,LIVER
85_intestinesentrails,"intestines, entrails",1991,INTESTINES
86_liverexaminedbytheharuspexlivermodelomen,"liver (examined by the haruspex), liver model; omen",107,OMEN
87_entrailsintestines,"entrails, intestines",1991,INTESTINES
88_intestines,intestines,1991,INTESTINES
89_intestine,intestine,1991,INTESTINES
90_mouth,mouth,674,MOUTH
91_mouthopening,mouth; opening,674,MOUTH
92_mouthopeningfleshoffruitsharpedgeofsword,mouth; opening; flesh (of fruit); sharp edge (of sword),674,MOUTH
93_name,name,1405,NAME
94_namefamegloryperson,"name; fame, glory; person",1405,NAME
95_new,new,1231,NEW
96_newyoung,new; young,1231,NEW
97_tocuttomakeanincision,"to cut, to make an incision",1432,CUT
98_tochop,to chop,155,CHOP
99_tomakeincisionsupononeself,to make incisions upon oneself,,
100_tocutoff,to cut off,,
101_tocuttocutoff,"to cut, to cut off",1432,CUT
102_night,night,1233,NIGHT
103_evening,evening,1629,EVENING
104_toliedown,to lie down,215,LIE DOWN
105_bone,bone,1394,BONE
106_flankthighinnermostpartfamilyrace,"flank, thigh; innermost part; family, race",471,UPPER LEG (THIGH)
107_earth,earth,1228,EARTH (SOIL)
108_earthlandgroundfloorbottom,"earth, land; ground floor; bottom",1228,EARTH (SOIL)
109_earthland,"earth, land",626,LAND
110_soilsoftsurfaceoftheearthusedforcultivationandasabuildingmaterialsoildust,"soil; soft surface of the earth used for cultivation and as a building material (soil, dust)",1228,EARTH (SOIL)
111_soil,soil,1228,EARTH (SOIL)
112_dustearthsoil,"dust; earth, soil",2,DUST
113_tobedark,to be dark,706,DARK
114_tobetroubledblurredordark,"to be troubled, blurred or dark",706,DARK
