NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
1	dog	2009	DOG	noun
2	all	98	ALL	other
3	all, the whole; everyone	98	ALL	other
4	all, every; so much	98	ALL	other
5	all, anyone	98	ALL	other
6	to assemble	3638	ASSEMBLE (GET TOGETHER)	verb
7	to assemble, to congregate; to gather, collect	7	GATHER	verb
8	assembly			
9	whole, totality	2277	WHOLE	adjective
10	banquet			
11	to boast, to glory	101	BOAST	verb
12	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein			
13	to engage, to betroth, to espouse			
14	to bite	1403	BITE	verb
15	to bite; to incite, provoke	1403	BITE	verb
16	to undo, to untwist; to dissolve, to break a covenant			
17	blood	946	BLOOD	noun
18	to die	1494	DIE	verb
19	to drink	1401	DRINK	verb
20	to drink, to be watered, to be irrigated	1401	DRINK	verb
21	to irrigate, to quench one’s thirst	3078	IRRIGATE	verb
22	to give drink, to water, to irrigate	3078	IRRIGATE	verb
23	(nip., hip.) to provide drink for, to irrigate	3078	IRRIGATE	verb
24	(aph.) to give drink, to irrigate	3078	IRRIGATE	verb
25	to provide enough water			
26	nail, claw	72	CLAW	noun
27	claw	72	CLAW	noun
28	nail	1896	FINGERNAIL OR TOENAIL	noun
29	nail, claw, talon	72	CLAW	noun
30	ear	1247	EAR	noun
31	ear, bay of the sea, handle, opening of a bottle	1247	EAR	noun
32	to eat	1336	EAT	verb
33	to consume, to devour	2787	CONSUME (DRINK OR EAT)	verb
34	to eat, to consume; to itch	1336	EAT	verb
35	food, bread, grain	256	FOOD	noun
36	bread	1368	BREAD	noun
37	grain, fodder	605	GRAIN	noun
38	food, bread, corn	256	FOOD	noun
39	eye	1248	EYE	noun
40	to see	1409	SEE	verb
41	eye, appearance, look; spring	1248	EYE	noun
42	eye; spring; bud, bulb; appearance, surface	1248	EYE	noun
43	full	1429	FULL	adjective
44	full, covered, complete	1429	FULL	adjective
45	to fill up			
46	hair	1040	HAIR	noun
47	wool	964	WOOL	noun
48	hairiness, body hair, hairy covering	189	HAIR (BODY)	noun
