Grapheme	IPA	Frequence	Codepoints
a	a	2115	U+0061
r	r	1401	U+0072
-	NULL	1272	U+002d
u	u	1054	U+0075
aː	aː	984	U+0061 U+02d0
b	b	947	U+0062
l	l	902	U+006c
m	m	883	U+006d
n	n	809	U+006e
t	t	778	U+0074
ʔ	ʔ	624	U+0294
ʃ	ʃ	615	U+0283
d	d	521	U+0064
i	i	471	U+0069
k	k	437	U+006b
p	p	437	U+0070
ʕ	ʕ	428	U+0295
j	j	426	U+006a
qˤ	qˤ	376	U+0071 U+02e4
ħ	ħ	375	U+0127
s	s	320	U+0073
w	w	264	U+0077
g	g	233	U+0067
sˤ	sˤ	231	U+0073 U+02e4
x	x	226	U+0078
e	e	202	U+0065
tˤ	tˤ	195	U+0074 U+02e4
ə	ə	190	U+0259
iː	iː	185	U+0069 U+02d0
z	z	167	U+007a
f	f	160	U+0066
uː	uː	137	U+0075 U+02d0
eː	eː	133	U+0065 U+02d0
æ	æ	124	U+00e6
θ	θ	112	U+03b8
h	h	112	U+0068
ɬ	ɬ	100	U+026c
oː	oː	97	U+006f U+02d0
û	û	92	U+00fb
ɣ	ɣ	89	U+0263
q	q	85	U+0071
ð	ð	53	U+00f0
ɬˤ	ɬˤ	35	U+026c U+02e4
o	o	31	U+006f
dˤ	dˤ	30	U+0064 U+02e4
θˤ	θˤ	26	U+03b8 U+02e4
â	â	25	U+00e2
ă	ă	22	U+0103
ðˤ	ðˤ	14	U+00f0 U+02e4
qˤʷ	qʷˤ	11	U+0071 U+02e4 U+02b7
ǝ	ə	10	U+01dd
æː	æː	8	U+00e6 U+02d0
kʷ	kʷ	7	U+006b U+02b7
ê	ê	6	U+00ea
gʷ	gʷ	5	U+0067 U+02b7
ɬₓ	ɬₓ	3	U+026c U+2093
ŏ	ŏ	2	U+014f
ā	ā	2	U+0101
ú	ú	2	U+00fa
í	í	2	U+00ed
ʔ̣	ʔ̣	1	U+0294 U+0323
ù	ù	1	U+00f9
î	î	1	U+00ee
