Grapheme	IPA	Frequence	Codepoints
a	a	2121	U+0061
r	r	1403	U+0072
-	NULL	1282	U+002d
u	u	1058	U+0075
aː	aː	990	U+0061 U+02d0
b	b	943	U+0062
l	l	904	U+006c
m	m	878	U+006d
n	n	813	U+006e
t	t	780	U+0074
ʔ	ʔ	631	U+0294
ʃ	ʃ	622	U+0283
d	d	518	U+0064
i	i	471	U+0069
p	p	437	U+0070
j	j	433	U+006a
k	k	431	U+006b
ʕ	ʕ	431	U+0295
qˤ	qˤ	376	U+0071 U+02e4
ħ	ħ	370	U+0127
s	s	321	U+0073
w	w	267	U+0077
g	g	233	U+0067
sˤ	sˤ	231	U+0073 U+02e4
x	x	225	U+0078
e	e	204	U+0065
tˤ	tˤ	195	U+0074 U+02e4
ə	ə	191	U+0259
iː	iː	185	U+0069 U+02d0
z	z	167	U+007a
f	f	160	U+0066
uː	uː	138	U+0075 U+02d0
eː	eː	132	U+0065 U+02d0
æ	æ	122	U+00e6
θ	θ	113	U+03b8
h	h	112	U+0068
ɬ	ɬ	101	U+026c
oː	oː	97	U+006f U+02d0
û	û	91	U+00fb
ɣ	ɣ	87	U+0263
q	q	85	U+0071
ð	ð	53	U+00f0
ɬˤ	ɬˤ	35	U+026c U+02e4
o	o	31	U+006f
dˤ	dˤ	29	U+0064 U+02e4
θˤ	θˤ	26	U+03b8 U+02e4
â	â	25	U+00e2
ă	ă	22	U+0103
ðˤ	ðˤ	14	U+00f0 U+02e4
qˤʷ	qʷˤ	11	U+0071 U+02e4 U+02b7
ǝ	ə	10	U+01dd
æː	æː	8	U+00e6 U+02d0
kʷ	kʷ	7	U+006b U+02b7
ê	ê	7	U+00ea
gʷ	gʷ	5	U+0067 U+02b7
ú	ú	3	U+00fa
ɬₓ	ɬₓ	3	U+026c U+2093
ŏ	ŏ	2	U+014f
ā	ā	2	U+0101
í	í	2	U+00ed
ù	ù	1	U+00f9
î	î	1	U+00ee
