ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID
	PS	dog	*kalb-		(SED II No. 115)	1
1	Akkadian	dog	kalbu		(CAD 68, AHw. 424)	1
3	Ugaritic	dog	klb		(DUL 439)	1
474	Hebrew	dog	käläb		(HALOT 476)	1
475	Syriac	dog	kalbā		(LSyr. 328, SL 622)	1
2	Arabic	dog	kalb-		(Lane 2625)	1
5633	Geez	dog	kalb		(CDG 282, LLA 818, Gr. 256)	1
	PS	all	*kal-/*kull-			2
5731	Akkadian	all	kalû		(CAD K 87, AHw. 427)	2
486	Ugaritic	all	kl		(DUL 436)	2
464	Hebrew	all, the whole; everyone	kōl		(HALOT 474)	2
465	Syriac	all, every; so much	kul		(LSyr. 326, SL 622)	2
5280	Arabic	all, anyone	kull-		(BK 918, Lane 3002)	2
5323	Geez	all	kʷəll		(CDG 281)	2
	PS	to assemble	*pḫr		(Kogan 2015:28)	3
14	Akkadian	to assemble, to congregate; to gather, collect	paḫāru		(CAD P 23, AHw. 810)	3
21	Ugaritic	assembly	pḫr		(DUL 669, Watson 2007:99)	3
22	Ugaritic	whole, totality	pḫyr		(DUL 669)	3
13770	Syriac	banquet	puḥrā		(LSyr. 563, SL 1161)	3
16748	Arabic	to boast, to glory	fḫr		(Lane 2349)	3
16747	Arabic	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein	faḫūr-		(Lane 2349)	3
11979	Geez	to engage, to betroth, to espouse	faḫara		(CDG 158)	3
	PS	to bite	*nṯk/*nkṯ		(CDG 402)	4
5281	Akkadian	to bite	našāku		(CAD N₂ 53, AHw. 758)	4
487	Ugaritic	to bite	nṯk		(DUL 653)	4
466	Hebrew	to bite	nšk		(HALOT 729)	4
467	Syriac	to bite; to incite, provoke	nkt		(LSyr. 430, SL 921)	4
5321	Arabic	to undo, to untwist; to dissolve, to break a covenant	nkṯ		(Lane 2847)	4
5331	Geez	to bite	nasaka		(CDG 402)	4
	PS	blood	*dam-, *ˀa-dam-		(SED I No. 50)	5
5282	Akkadian	blood	damu		(CAD D 75, AHw. 158)	5
488	Ugaritic	blood	dm		(DUL 272)	5
468	Hebrew	blood	dām		(HALOT 224)	5
469	Syriac	blood	dmā		(LSyr. 156, SL 307)	5
5292	Arabic	blood	dam­-		(BK 1 736, Lane 916)	5
5294	Geez	blood	dam		(CDG 133)	5
	PS	to die	*mwt		(SED I No. 43ᵥ)	6
5300	Akkadian	to die	mâtu		(CAD M₁ 461, AHw. 634)	6
493	Ugaritic	to die	mt		(DUL 596)	6
472	Hebrew	to die	mwt		(HALOT 562)	6
473	Syriac	to die	mwt		(LSyr. 378, SL 731)	6
5299	Geez	to die	mota		(CDG 375)	6
	PS	to drink	*šty		(CDG 518)	7
5734	Akkadian	to drink	šatû		(CAD Š₂ 207, AHw. 1202)	7
495	Ugaritic	to drink	šty		(DUL 853)	7
476	Hebrew	to drink	šty		(HALOT 1667)	7
477	Syriac	to drink, to be watered, to be irrigated	šty		(LSyr. 811, SL 1614)	7
15864	Syriac	to drink	šty		(LSyr. 811, SL 1614)	7
5315	Geez	to drink	satya		(CDG 438)	7
	PS	to irrigate, to quench one’s thirst	*šḳy		(HALOT 1639; Kogan 2011: 238)	9
5354	Akkadian	to give drink, to water, to irrigate	šaḳû		(CAD Š₂ 24, AHw. 1181)	9
5352	Hebrew	(nip., hip.) to provide drink for, to irrigate	šḳy		(HALOT 1639)	9
5360	Syriac	(aph.) to give drink, to irrigate	šḳy		(LSyr. 798, SL 1593)	9
11380	Geez	to provide enough water	saḳaya		(CDG 511)	9
	PS	nail, claw	*ṯ̣ipr-		(SED I No. 285)	10
6479	Akkadian	claw	ṣupru		(CAD Ṣ 250, AHw. 1113)	10
470	Hebrew	nail	ṣippōrän		(HALOT 1051)	10
471	Syriac	nail, claw, talon	ṭeprā		(LSyr. 286, SL 548)	10
8958	Arabic	nail	ḏ̣ifr-		(BK 2 135, Lane 1912)	10
5687	Geez	claw	ṣəfr		(CDG 549)	10
	PS	ear	*ˀuḏn-		(SED I No. 4)	14
2930	Akkadian	ear	uznu		(CAD U–W 362, AHw. 1447)	14
496	Ugaritic	ear	ˀudn		(DUL 20)	14
581	Hebrew	ear	ˀōzän		(HALOT 27)	14
582	Syriac	ear, bay of the sea, handle, opening of a bottle	ˀednā		(LSyr. 6, SL 10)	14
2938	Arabic	ear	ˀuḏn-		(Lane 45)	14
2940	Geez	ear	ˀəzn		(LGz. 52)	14
	PS	to eat	*ˀkl		(Fronzaroli 1971: 609, 631; HALOT 46; Kogan 2011: 238)	15
5533	Akkadian	to eat	akālu		(CAD A₁ 245)	15
5536	Ugaritic	to consume, to devour	ˀkl		(DUL 43)	15
585	Hebrew	to eat	ˀkl		(HALOT 46)	15
586	Syriac	to eat, to consume; to itch	ˀkl		(LSyr. 17, SL 41)	15
5535	Arabic	to eat	ˀkl		(Lane 71)	15
	PS	food, bread, grain	*ˀukl-/*ˀikl-		(CDG 15)	17
5530	Akkadian	bread	akalu		(CAD A₁ 238, AHw. 26)	17
2558	Ugaritic	grain, fodder	ˀakl		(DUL 44)	17
5527	Geez	food, bread, corn	ˀəkl		(CDG 15)	17
	PS	eye	*ˁayn-		(SED I No. 28)	19
5537	Akkadian	eye	īnu		(CAD I 153, AHw. 353)	19
499	Ugaritic	eye	ˁn		(DUL 168)	19
572	Ugaritic	to see	ˁn		(DUL 167)	19
587	Hebrew	eye, appearance, look; spring	ˁayin		(HALOT 817)	19
588	Syriac	eye; spring; bud, bulb; appearance, surface	ˁaynā		(LSyr. 522, SL 1097)	19
5539	Arabic	eye	ˁayn-		(Lane 2214, BK 2 425)	19
5558	Geez	eye	ˁayn		(CDG 80)	19
	PS	full	*mlˀ		(CDG 342)	20
5727	Akkadian	full, covered, complete	malû		(CAD M₁ 173, AHw. 596)	20
504	Ugaritic	full	mlˀ		(DUL 545)	20
591	Hebrew	full	mālē(ˀ)		(HALOT 584)	20
592	Syriac	full	mle		(LSyr. 388, SL 763)	20
15939	Syriac	to fill up	mly		(LSyr. 388, SL 768)	20
5704	Geez	full	məluˀ		(CDG 342)	20
	PS	hair	*ŝaˁr-		(SED I No. 260)	21
5738	Akkadian	hair	šārtu		(CAD Š₂ 125, AHw. 1191)	21
8607	Ugaritic	wool	šˁrt		(WUS 312, UVST 183)	21
616	Hebrew	hairiness, body hair, hairy covering	ŝēˁār		(HALOT 1344)	21
617	Syriac	hair; feathers	saˁrā		(LSyr. 488, SL 1028)	21
4296	Arabic	hair	šaˁr-		(Lane 1560)	21
77	Geez	hair of body or head	ŝəˁərt		(CDG 525)	21
	PS	hand	*yad-		(SED I No. 291)	23
83	Akkadian	arm; side; edge, border	idu		(CAD I 10, AHw. 365)	23
506	Ugaritic	hand	yd		(DUL 990)	23
618	Hebrew	forearm, hand; power, violence, possession	yād		(HALOT 386)	23
619	Syriac	hand, arm, forepaw; power	ˀidā		(LSyr. 295, SL 31)	23
5890	Geez	hand	ˀəd		(CDG 7)	23
	PS	head	*raˀš-		(SED I No. 225)	24
85	Akkadian	head; servant, slave; top, summit; beginning	rēšu		(CAD R 277, AHw. 973)	24
507	Ugaritic	head	rˀiš		(DUL 724)	24
620	Hebrew	head; person; beginning; leader, chief	rō(ˀ)š		(HALOT 1164)	24
621	Syriac	head; top, summit; point; beginning	rešā		(LSyr. 728, SL 1462)	24
6230	Arabic	head	raˀs­-		(Lane 995, BK 1 793)	24
6202	Geez	head	rəˀs		(CDG 458)	24
	PS	skull	*ḳVdḳVd-		(SED I No. 159)	25
84	Akkadian	head	ḳaḳḳadu		(CAD Q 100, AHw. 899)	25
6238	Ugaritic	skull, crown	ḳdḳd		(DUL 694)	25
6243	Hebrew	skull	ḳodḳōd		(HALOT 1071)	25
6256	Arabic	part of the back of the neck that is between the ears	maqadd-, muqadd­-		(BK 2 683, Lane 2492)	25
	PS	to hear	*šmˁ		(CDG 501, Kogan 2015: 32)	26
5739	Akkadian	to hear, to listen, to obey	šemû		(CAD Š₂ 277, AHw. 1211)	26
508	Ugaritic	to hear	šmˁ		(DUL 823)	26
622	Hebrew	to hear; to obey; to understand	šmˁ		(HALOT 1570)	26
623	Syriac	to hear, listen to; to hearken; to obey	šmˁ		(LSyr. 786, SL 1574)	26
6259	Geez	to hear	samˁa		(CDG 501)	26
	PS	heart	*libb-		(SED I No. 174)	27
5741	Akkadian	heart	libbu		(CAD L 164, AHw. 549)	27
509	Ugaritic	heart	lb		(DUL 489)	27
624	Hebrew	heart; one's inner self; inclination, disposition, will, intention; reason	lēb		(HALOT 513)	27
625	Syriac	heart, inside of the body; center, pith, inside; cake	lebbā		(LSyr. 354, SL 666)	27
89	Arabic	what is in the inside; understanding, intelligence, mind	lubb-		(Lane 2643)	27
5743	Geez	heart; mind	ləbb		(CDG 305)	27
	PS	heart, middle of the body	*ḳalb-/*ḳabl-		(SED I No. 161)	28
86	Akkadian	middle, center, middle part	ḳablu		(CAD Q 6, AHw. 887)	28
87	Arabic	heart	qalb-		(Lane 2553)	28
6332	Geez	thought, wish	ḳalb		(CDG 427)	28
	PS	horn	*ḳarn-		(SED I No. 168)	29
6509	Akkadian	horn	ḳarnu		(CAD Q 134, AHw. 904)	29
510	Ugaritic	horn	ḳrn		(DUL 170)	29
626	Hebrew	horn	ḳärän		(HALOT 1144)	29
627	Syriac	horn	ḳarnā		(LSyr. 697, SL 1412)	29
9010	Arabic	horn	qarn-		(BK 2 727, Lane 2987)	29
6333	Geez	horn	ḳarn		(CDG 442)	29
	PS	I	*ˀanāku/ˀanV		(CDG 26, Kogan 2015: 32)	30
7892	Akkadian	I	anāku		(CAD A₂ 106, AHw. 49)	30
511	Ugaritic	I	ˀan, ˀank		(DUL 76)	30
628	Hebrew	I	ˀănī		(HALOT 72)	30
1138	Hebrew	I	ˀānōkī		(HALOT 71‒72)	30
629	Syriac	I	ˀenā		(LSyr. 27, SL 58)	30
21452	Arabic	I	ˀana		(Lane 103)	30
6595	Geez	I	ˀana		(CDG 26)	30
	PS	knee	*bi/ark-		(SED I No. 39)	31
7910	Akkadian	knee, lap	birku, burku		(CAD B 255, AHw. 129)	31
512	Ugaritic	knee	brk		(DUL 237)	31
630	Hebrew	knee	bäräk		(HALOT 160)	31
631	Syriac	knee; bowing down, genuflection; middle part of plow	burkā		(LSyr. 96, SL 131)	31
13508	Arabic	to kneel	bārikat-­		(Lane 193, BK 1 116)	31
6339	Geez	knee	bərk		(CDG 105)	31
	PS	liver	*kabid-		(SED I No. 141)	33
93	Akkadian	emotions, thought, mind, spirit	kabattu		(CAD K 11, AHw. 416)	33
515	Ugaritic	liver	kbd		(DUL 424)	33
632	Hebrew	liver	kābēd		(BDB 458; HALOT  456)	33
633	Syriac	liver; anger	kabdā		(LSyr. 315, SL 595)	33
5877	Arabic	middle, interior	kabid-		(Lane 2585)	33
250	Geez	liver, stomach, belly	kabd		(CDG 273)	33
	PS	intestines, entrails	*mVˁay-		(SED I No. 185)	34
94	Akkadian	liver (examined by the haruspex), liver model; omen	amūtu		(CAD A₂ 96, AHw. 46)	34
6663	Hebrew	entrails, intestines	mēˁayim		(HALOT 609)	34
15960	Syriac	intestines	məˁūṯā		(LSyr. 397, SL 800)	34
15958	Syriac	intestines	məˁayyā		(LSyr. 397, SL 800)	34
6665	Arabic	intestines	maˁy-, maˁan		(BK 2 1131)	34
6666	Geez	intestine	ˀamāˁut		(CDG 23)	34
	PS	mouth	*pay-		(SED I No. 223)	35
7932	Akkadian	mouth	pû		(CAD P 453, AHw. 872)	35
521	Ugaritic	mouth	p		(DUL 657)	35
634	Hebrew	mouth; opening	pǟ		(HALOT 914)	35
635	Syriac	mouth; opening; flesh (of fruit); sharp edge (of sword)	pūmā		(LSyr. 577, SL 1165)	35
2283	Arabic	mouth	fam-		(Lane 2446)	35
6344	Geez	mouth	ˀaf		(CDG 8)	35
	PS	name	*šVm-		(CDG 504, Kogan 2015: 33)	37
7936	Akkadian	name	šumu		(CAD Š₃ 284, AHw. 1274)	37
522	Ugaritic	name	šm		(DUL 822)	37
636	Hebrew	name	šēm		(HALOT 1548)	37
