ID,Name,Description,ColumnSpec
-oth,-oth,,
supines,supines,,
singulative,singulative,,
English,English,,
this,this,,
Unknown,Unknown,,
to,to,,
problematicmsg,problematicmsg,,
-ness,-ness,,
feminine,feminine,,
rasm,rasm,,
lightning,lightning,,
gleam,gleam,,
field,field,,
door,door,,
create,create,,
outside,outside,,
virgin,virgin,,
given_name,given name,,
house,house,,
roof,roof,,
1English,1English,,
beth,beth,,
Baal,Baal,,
lord,lord,,
husband,husband,,
master,master,,
owner,owner,,
mistress,mistress,,
lady,lady,,
wife,wife,,
idle,idle,,
hero,hero,,
cease,cease,,
twist,twist,,
venomous,venomous,,
snake,snake,,
serpent,serpent,,
son,son,,
Ben,Ben,,
daughter,daughter,,
twenty,twenty,,
knee,knee,,
lie_down,lie down,,
benediction,benediction,,
kneel,kneel,,
anatomy,anatomy,,
well,well,,
in,in,,
exist,exist,,
someone,someone,,
language_code,language code,,
come,come,,
Arabic,Arabic,,
father,father,,
Ugaritic,Ugaritic,,
sedge,sedge,,
reed,reed,,
byssus,byssus,,
fine,fine,,
twilled,twilled,,
cotton,cotton,,
blood,blood,,
coat,coat,,
damp,damp,,
regret,regret,,
grass,grass,,
species,species,,
papery,papery,,
genus,genus,,
club,club,,
bear,bear,,
creep,creep,,
side,side,,
turn,turn,,
collect,collect,,
back,back,,
fundament,fundament,,
throw_down,throw down,,
strike,strike,,
thunder,thunder,,
storm,storm,,
go,go,,
to_go;_to_go_on;_to_go_away,to go; to go on; to go away,,
proceed,proceed,,
liver,liver,,
charge,charge,,
angry,angry,,
belly,belly,,
star,star,,
astronomy,astronomy,,
asterisk,asterisk,,
dog,dog,,
bring,bring,,
wing,wing,,
hand,hand,,
enclose,enclose,,
palm,palm,,
palm_hand,"palm, hand",,
toslap,toslap,,
wooden,wooden,,
paunch,paunch,,
wrinkle,wrinkle,,
tripe,tripe,,
be,be,,
to_be,to be,,
copulative,copulative,,
beaker,beaker,,
cup_goblet,"cup, goblet",,
glass,glass,,
drinking,drinking,,
cup,cup,,
lyre,lyre,,
harp,harp,,
Hinduism,Hinduism,,
music,music,,
krar,krar,,
claw,claw,,
lion,lion,,
poetic,poetic,,
lioness,lioness,,
Libya,Libya,,
turnip,turnip,,
bend,bend,,
wind,wind,,
Sumerogram,Sumerogram,,
knead,knead,,
night,night,,
evening,evening,,
nighttime,nighttime,,
childish,childish,,
heart,heart,,
pulp,pulp,,
tongue,tongue,,
for,for,,
family,family,,
god,god,,
detransitivizing,detransitivizing,,
chemistry,chemistry,,
with_owning,"with, owning",,
no,no,,
dont,don't,,
king,king,,
melik,melik,,
regional,regional,,
sweet,sweet,,
sweetness,sweetness,,
die,die,,
dead,dead,,
Dead,Dead,,
skin,skin,,
grab,grab,,
sheepskin,sheepskin,,
blanket,blanket,,
even_if,even if,,
extent,extent,,
from,from,,
of,of,,
2English,2English,,
mother,mother,,
what,what,,
hundred,hundred,,
I,I,,
water,water,,
table,table,,
head_of_the_household_personnel,head of the household personnel,,
inwards,inwards,,
gut,gut,,
fountain,fountain,,
Maine,Maine,,
intestine,intestine,,
