NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
1	-oth			
2	supines			
3	singulative			
4	English			
5	this	1214	THIS	other
6	Unknown			
7	to	2754	TOWARDS	other
8	problematicmsg			
9	-ness			
10	feminine			
11	rasm			
12	lightning	1654	LIGHTNING	noun
13	gleam			
14	field	212	FIELD	noun
15	door	1567	DOOR	noun
16	create			
17	outside	762	OUTSIDE	other
18	virgin	2298	VIRGIN	noun
19	given name			
20	house	1252	HOUSE	noun
21	roof	769	ROOF	noun
22	1English			
23	beth			
24	Baal			
25	lord	3153	LORD	noun
26	husband	1200	HUSBAND	noun
27	master	383	MASTER	noun
28	owner	1036	OWNER	noun
29	mistress			
30	lady	2471	LADY	noun
31	wife	1199	WIFE	noun
32	idle	2756	IDLE	noun
33	hero			
34	cease	1928	CEASE	verb
35	twist	430	TWIST	verb
36	venomous			
37	snake	730	SNAKE	noun
38	serpent	730	SNAKE	noun
39	son	1620	SON	noun
40	Ben			
41	daughter	1357	DAUGHTER	noun
42	twenty	1710	TWENTY	numeral
43	knee	1371	KNEE	noun
44	lie down	215	LIE DOWN	verb
45	benediction			
46	kneel	66	KNEEL	verb
47	anatomy			
48	well	954	WELL	noun
49	in	1460	IN	other
50	exist	1579	BE	verb
51	someone	2422	SOMEONE	other
52	language code			
53	come	1446	COME	verb
54	Arabic			
55	father	1217	FATHER	noun
56	Ugaritic			
57	sedge			
58	reed	659	REED	noun
59	byssus			
60	fine	218	FINE (PENALTY)	noun
61	twilled			
62	cotton	1850	COTTON	noun
63	blood	946	BLOOD	noun
64	coat	603	COAT	noun
65	damp	2998	DAMP	adjective
66	regret	1875	REGRET	verb
67	grass	606	GRASS	noun
68	species			
69	papery			
70	genus			
71	club	1763	CLUB	noun
72	bear	1820	BEAR	noun
73	creep	3215	CREEP	verb
74	side	682	SIDE	noun
75	turn	1588	TURN	verb
76	collect			
77	back	1291	BACK	noun
78	fundament			
79	throw down			
80	strike	353	STRIKE	verb
81	thunder	1150	THUNDER	noun
82	storm	858	STORM	noun
83	go	695	GO	verb
84	to go; to go on; to go away	695	GO	verb
85	proceed			
86	liver	1224	LIVER	noun
87	charge			
88	angry	1826	ANGRY	adjective
89	belly	1251	BELLY	noun
90	star	1430	STAR	noun
91	astronomy			
92	asterisk			
93	dog	2009	DOG	noun
94	bring	692	BRING	verb
95	wing	1257	WING	noun
96	hand	1277	HAND	noun
97	enclose			
98	palm	1183	PALM OF HAND	noun
99	palm, hand	1277	HAND	noun
100	toslap			
101	wooden			
102	paunch			
103	wrinkle	2294	WRINKLE	noun
104	tripe			
105	be	1579	BE	verb
106	to be	1579	BE	verb
107	copulative			
108	beaker			
109	cup, goblet	476	CUP	noun
110	glass	604	GLASS	noun
111	drinking			
112	cup	476	CUP	noun
113	lyre			
114	harp	2597	HARP	noun
115	Hinduism			
116	music	642	MUSIC	noun
117	krar			
118	claw	72	CLAW	noun
119	lion	1386	LION	noun
120	poetic			
121	lioness			
122	Libya			
123	turnip	3062	TURNIP	noun
124	bend	2224	BEND (SOMETHING)	verb
125	wind	960	WIND	noun
126	Sumerogram			
127	knead	274	KNEAD	verb
128	night	1233	NIGHT	noun
129	evening	1629	EVENING	noun
130	nighttime			
131	childish			
132	heart	1223	HEART	noun
