ID	Name	NameInSource	Glottocode	ISO639P3code	Latitude	Longitude	Family
protosemitic	Oto	Proto-Semitic	otoo1241				Siouan
akkadian	Akkadian	Akkadian	akka1240	akk	33.1	44.1	Afro-Asiatic
gulfarabic	Gulf Arabic	Gulf Arabic	gulf1241	afb	30.17	47.5	Afro-Asiatic
maltese	Maltese	Maltese	malt1254	mlt	35.8884	14.4508	Afro-Asiatic
classicalsyriac	Classical Syriac	Classical Syriac	clas1252	syc	37.1129	42.1432	Afro-Asiatic
yiddish	German-Yiddish-Romani-Rotwelsch	Yiddish	germ1288				Mixed Language
hebrew	E	Hebrew	eeee1240	eee	24.7262	109.063	Tai-Kadai
arabic	Arabic	Arabic	arab1395				Afro-Asiatic
hijaziarabic	Hijazi Arabic	Hijazi Arabic	hija1235	acw	22.8346	38.9237	Afro-Asiatic
moroccanarabic	Moroccan Arabic	Moroccan Arabic	moro1292	ary	32.5	-7.5	Afro-Asiatic
southlevantinearabic	South Levantine Arabic	South Levantine Arabic	sout3123	ajp	31.5601	38.0837	Afro-Asiatic
ottomanturkish	Ottoman Turkish	Ottoman Turkish	otto1234	ota			Turkic
persian	Persian-Indic	Persian	pers1247				Mixed Language
classicalmandaic	Classical Mandaic	Classical Mandaic	clas1253	myz	36.1203	49.5659	Afro-Asiatic
punic	Punic	Punic	puni1241	xpu	36.527295	10.356444	Afro-Asiatic
ugaritic	Ugaritic	Ugaritic	ugar1238	uga	35.6	35.78	Afro-Asiatic
oldsoutharabian	Sou	Old South Arabian	souu1238	sqq	14.687	106.54	Austroasiatic
amharic	Amharic	Amharic	amha1245	amh	11.708182	39.543456	Afro-Asiatic
geez	E	Ge'ez	eeee1240	eee	24.7262	109.063	Tai-Kadai
tigrinya	Tigrinya	Tigrinya	tigr1271	tir	15.3359	38.9266	Afro-Asiatic
tigre	Tigre	Tigre	tigr1270	tig	17.3494	38.2233	Afro-Asiatic
mehri	Mehri	Mehri	mehr1241	gdq	16.793	52.473	Afro-Asiatic
