Grapheme	IPA	Frequence	Codepoints
a	a	384	U+0061
-	NULL	273	U+002d
َ	<?>	247	U+064e
ܐ	<?>	213	U+0710
r	r	195	U+0072
ָ	<?>	187	U+05b8
א	<?>	153	U+05d0
i	i	146	U+0069
n	n	135	U+006e
ּ	<?>	130	U+05bc
m	m	118	U+006d
ر	<?>	117	U+0631
ܳ	<?>	115	U+0733
b	b	115	U+0062
ַ	<?>	114	U+05b7
ا	<?>	109	U+0627
e	e	108	U+0065
l	l	108	U+006c
م	<?>	105	U+0645
ር	<?>	103	U+122d
t	t	102	U+0074
י	<?>	98	U+05d9
ְ	<?>	95	U+05b0
ن	<?>	94	U+0646
ר	<?>	89	U+05e8
ي	<?>	86	U+064a
ل	<?>	83	U+0644
ب	<?>	82	U+0628
ש	<?>	82	U+05e9
ት	<?>	81	U+1275
ת	<?>	80	U+05ea
ܰ	<?>	80	U+0730
݁	<?>	76	U+0741
ֶ	<?>	75	U+05b6
አ	<?>	75	U+12a0
ל	<?>	71	U+05dc
ܪ	<?>	68	U+072a
ِ	<?>	68	U+0650
ׁ	<?>	66	U+05c1
ْ	<?>	65	U+0652
ח	<?>	65	U+05d7
ב	<?>	64	U+05d1
s	s	64	U+0073
ֵ	<?>	63	U+05b5
እ	<?>	63	U+12a5
u	u	63	U+0075
ም	<?>	63	U+121d
d	d	62	U+0064
س	<?>	62	U+0633
ִ	<?>	60	U+05b4
ו	<?>	59	U+05d5
ʔ	ʔ	59	U+0294
ע	<?>	58	U+05e2
מ	<?>	58	U+05de
ን	<?>	55	U+1295
ܬ	<?>	54	U+072c
ה	<?>	54	U+05d4
ع	<?>	52	U+0639
ḥ	ḥ	52	U+1e25
و	<?>	52	U+0648
ፍ	<?>	51	U+134d
ብ	<?>	50	U+1265
ت	<?>	48	U+062a
ܠ	<?>	48	U+0720
k	k	48	U+006b
ܢ	<?>	48	U+0722
ܝ	<?>	47	U+071d
ֹ	<?>	47	U+05b9
נ	<?>	45	U+05e0
š	š	45	U+0161
ܚ	<?>	45	U+071a
ة	<?>	44	U+0629
𐎗	<?>	44	U+0397
𐎚	<?>	44	U+039a
ح	<?>	44	U+062d
w	w	43	U+0077
o	o	42	U+006f
h	h	41	U+0068
ስ	<?>	41	U+1235
ܡ	<?>	41	U+0721
ሰ	<?>	41	U+1230
p	p	40	U+0070
ܒ	<?>	39	U+0712
በ	<?>	38	U+1260
ረ	<?>	38	U+1228
ʕ	ʕ	37	U+0295
ܥ	<?>	37	U+0725
د	<?>	37	U+062f
𐩱	<?>	37	U+0a71
𐎁	<?>	36	U+0381
𐩧	<?>	36	U+0a67
ṯ	<?>	36	U+1e6f
𐩣	<?>	36	U+0a63
𐩡	<?>	35	U+0a61
ል	<?>	35	U+120d
𐤀	<?>	35	U+0900
ܘ	<?>	34	U+0718
𐎐	<?>	33	U+0390
ነ	<?>	33	U+1290
ܫ	<?>	33	U+072b
ࡀ	<?>	31	U+0840
ə	ə	31	U+0259
ܶ	<?>	31	U+0736
ك	<?>	31	U+0643
أ	<?>	31	U+0623
𐎍	<?>	30	U+038d
𒌝	<?>	30	U+231d
ן	<?>	30	U+05df
ف	<?>	30	U+0641
𐩺	<?>	29	U+0a7a
g	g	29	U+0067
𐩨	<?>	28	U+0a68
פ	<?>	28	U+05e4
ማ	<?>	28	U+121b
ד	<?>	28	U+05d3
𐎎	<?>	28	U+038e
𐎌	<?>	28	U+038c
ወ	<?>	28	U+12c8
𐎀	<?>	28	U+0380
ُ	<?>	27	U+064f
ܦ	<?>	27	U+0726
خ	<?>	27	U+062e
ق	<?>	26	U+0642
ܴ	<?>	26	U+0734
f	f	26	U+0066
ፈ	<?>	26	U+1348
𐎓	<?>	25	U+0393
𐩬	<?>	25	U+0a6c
ħ	ħ	25	U+0127
ث	<?>	24	U+062b
ܕ	<?>	24	U+0715
ه	<?>	24	U+0647
ק	<?>	23	U+05e7
ā	ā	23	U+0101
𐤌	<?>	23	U+090c
𐎊	<?>	23	U+038a
𐤁	<?>	22	U+0901
ّ	<?>	22	U+0651
𐤍	<?>	22	U+090d
𐤕	<?>	21	U+0915
ለ	<?>	21	U+1208
ይ	<?>	21	U+12ed
𐎈	<?>	21	U+0388
ࡉ	<?>	20	U+0849
ܱ	<?>	20	U+0731
j	j	20	U+006a
ድ	<?>	20	U+12f5
𐩥	<?>	20	U+0a65
ش	<?>	20	U+0634
𐤔	<?>	20	U+0914
ay	ay	19	U+0061 U+0079
ḳ	ḳ	19	U+1e33
𐤓	<?>	19	U+0913
𐤋	<?>	19	U+090b
𐩲	<?>	19	U+0a72
ܟ	<?>	19	U+071f
𒀀	<?>	19	U+2000
ա	<?>	19	U+0561
ተ	<?>	19	U+1270
𐩩	<?>	18	U+0a69
ם	<?>	18	U+05dd
ዕ	<?>	18	U+12d5
ሐ	<?>	18	U+1210
ט	<?>	17	U+05d8
𒁀	<?>	16	U+2040
𐎘	<?>	16	U+0398
የ	<?>	16	U+12e8
𐎄	<?>	16	U+0384
𐎔	<?>	16	U+0394
መ	<?>	16	U+1218
ቀ	<?>	16	U+1240
𐩪	<?>	16	U+0a6a
ኣ	<?>	16	U+12a3
q	q	15	U+0071
ֲ	<?>	15	U+05b2
ጠ	<?>	15	U+1320
𐎋	<?>	15	U+038b
c	c	15	U+0063
y	y	15	U+0079
כ	<?>	15	U+05db
ላ	<?>	15	U+120b
ሕ	<?>	15	U+1215
ḏ	d̠	15	U+1e0f
ض	<?>	15	U+0636
ī	ī	14	U+012b
𒈬	<?>	14	U+222c
ج	<?>	14	U+062c
ሓ	<?>	14	U+1213
ܵ	<?>	14	U+0735
ዝ	<?>	14	U+12dd
𐤏	<?>	13	U+090f
ṭ	ṭ	13	U+1e6d
𒈾	<?>	13	U+223e
ი	<?>	13	U+10d8
ደ	<?>	13	U+12f0
ራ	<?>	13	U+122b
צ	<?>	13	U+05e6
𒌈	<?>	12	U+2308
ባ	<?>	12	U+1263
ዓ	<?>	12	U+12d3
á	á	12	U+00e1
ܛ	<?>	12	U+071b
𒉡	<?>	12	U+2261
x	x	12	U+0078
ሥ	<?>	12	U+1225
𐪃	<?>	12	U+0a83
𐪑	<?>	12	U+0a91
ḫ	<?>	12	U+1e2b
ܩ	<?>	11	U+0729
ቅ	<?>	11	U+1245
𒁍	<?>	11	U+204d
𐎛	<?>	11	U+039b
ከ	<?>	11	U+12a8
𐤊	<?>	11	U+090a
ግ	<?>	11	U+130d
ז	<?>	11	U+05d6
ዘ	<?>	11	U+12d8
ṣ́	ṣ́	11	U+1e63 U+0301
ܽ	<?>	10	U+073d
ى	<?>	10	U+0649
𒊒	<?>	10	U+2292
𒇻	<?>	10	U+21fb
𐩵	<?>	10	U+0a75
ܷ	<?>	10	U+0737
𒀜	<?>	10	U+201c
რ	<?>	10	U+10e0
ሽ	<?>	10	U+123d
ው	<?>	10	U+12cd
𐩢	<?>	10	U+0a62
𐤇	<?>	10	U+0907
ኢ	<?>	10	U+12a2
v	v	10	U+0076
ـ	<?>	9	U+0640
𒌑	<?>	9	U+2311
ɔ́	ɔ́	9	U+0254 U+0301
𐤉	<?>	9	U+0909
𒋗	<?>	9	U+22d7
ص	<?>	9	U+0635
𐎅	<?>	9	U+0385
𒅗	<?>	9	U+2157
ś	ś	9	U+015b
ס	<?>	9	U+05e1
ׂ	<?>	9	U+05c2
ࡍ	<?>	9	U+084d
ა	<?>	9	U+10d0
𒈝	<?>	9	U+221d
𒈠	<?>	9	U+2220
ࡌ	<?>	9	U+084c
ዋ	<?>	9	U+12cb
ē	ē	9	U+0113
ო	<?>	9	U+10dd
ꜣ	<?>	9	U+a723
ذ	<?>	9	U+0630
ܻ	<?>	8	U+073b
־	<?>	8	U+05be
ࡁ	<?>	8	U+0841
𐎖	<?>	8	U+0396
ō	ō	8	U+014d
𒆷	<?>	8	U+21b7
_	_	8	U+005f
ზ	<?>	8	U+10d6
z	z	8	U+007a
𒄑	<?>	8	U+2111
ya	ya	8	U+0079 U+0061
ࡅ	<?>	8	U+0845
𐩫	<?>	8	U+0a6b
𒂵	<?>	8	U+20b5
ሊ	<?>	8	U+120a
ዐ	<?>	8	U+12d0
ܺ	<?>	8	U+073a
ዑ	<?>	8	U+12d1
𐩠	<?>	8	U+0a60
𐎃	<?>	8	U+0383
ፊ	<?>	8	U+134a
إ	<?>	8	U+0625
𐎕	<?>	8	U+0395
𐩭	<?>	8	U+0a6d
𐩻	<?>	8	U+0a7b
𒁉	<?>	7	U+2049
ū	ū	7	U+016b
ࡕ	<?>	7	U+0855
ط	<?>	7	U+0637
ቡ	<?>	7	U+1261
ܾ	<?>	7	U+073e
ክ	<?>	7	U+12ad
V	<?>	7	U+0056
𒊑	<?>	7	U+2291
𒄿	<?>	7	U+213f
ṣ	ṣ	7	U+1e63
ی	<?>	7	U+06cc
ג	<?>	7	U+05d2
ܗ	<?>	7	U+0717
ࡊ	<?>	7	U+084a
ܣ	<?>	7	U+0723
𒆠	<?>	7	U+21a0
ნ	<?>	7	U+10dc
𒀭	<?>	7	U+202d
а	а	7	U+0430
𒊏	<?>	7	U+228f
í	í	7	U+00ed
ኀ	<?>	7	U+1280
𐩰	<?>	7	U+0a70
𒉿	<?>	7	U+227f
𒋛	<?>	7	U+22db
𐩳	<?>	7	U+0a73
ሳ	<?>	7	U+1233
ظ	<?>	7	U+0638
ࡓ	<?>	6	U+0853
𒌅	<?>	6	U+2305
𒄭	<?>	6	U+212d
*	<?>	6	U+002a
ቢ	<?>	6	U+1262
ე	<?>	6	U+10d4
غ	<?>	6	U+063a
݂	<?>	6	U+0742
𒇷	<?>	6	U+21f7
𒄀	<?>	6	U+2100
ն	<?>	6	U+0576
ࡋ	<?>	6	U+084b
𒆪	<?>	6	U+21aa
ሞ	<?>	6	U+121e
ሸ	<?>	6	U+1238
ሙ	<?>	6	U+1219
𒄷	<?>	6	U+2137
ሪ	<?>	6	U+122a
ܲ	<?>	6	U+0732
𒉌	<?>	6	U+224c
ፉ	<?>	6	U+1349
ኡ	<?>	6	U+12a1
𒉈	<?>	6	U+2248
𐡓	<?>	6	U+0853
ሒ	<?>	6	U+1212
ms	ms	6	U+006d U+0073
𐩦	<?>	6	U+0a66
𐪊	<?>	6	U+0a8a
𐪈	<?>	6	U+0a88
𐪒	<?>	6	U+0a92
𐤄	<?>	6	U+0904
ኒ	<?>	6	U+1292
ץ	<?>	6	U+05e5
ࡃ	<?>	6	U+0843
𒂍	<?>	5	U+208d
𒀪	<?>	5	U+202a
ɛ́	ɛ́	5	U+025b U+0301
ɔ	ɔ	5	U+0254
𒀠	<?>	5	U+2020
𒊭	<?>	5	U+22ad
ያ	<?>	5	U+12eb
ך	<?>	5	U+05da
ሶ	<?>	5	U+1236
ե	<?>	5	U+0565
A	<?>	5	U+0041
bb	bb	5	U+0062 U+0062
ܓ	<?>	5	U+0713
𒁺	<?>	5	U+207a
𒀉	<?>	5	U+2009
न	<?>	5	U+0928
𐡁	<?>	5	U+0841
𐎜	<?>	5	U+039c
ࡔ	<?>	5	U+0854
ሎ	<?>	5	U+120e
ሌ	<?>	5	U+120c
ቲ	<?>	5	U+1272
𐪁	<?>	5	U+0a81
𒈪	<?>	5	U+222a
𐪉	<?>	5	U+0a89
𒂊	<?>	5	U+208a
ً	<?>	5	U+064b
დ	<?>	5	U+10d3
ኅ	<?>	5	U+1285
р	р	5	U+0440
𒄩	<?>	5	U+2129
ሬ	<?>	5	U+122c
ቱ	<?>	5	U+1271
𐪇	<?>	5	U+0a87
ւ	<?>	5	U+0582
ጸ	<?>	5	U+1338
ጥ	<?>	5	U+1325
ኝ	<?>	5	U+129d
𐤑	<?>	5	U+0911
ጽ	<?>	5	U+133d
𐤒	<?>	4	U+0912
ⲉ	<?>	4	U+2c89
ቤ	<?>	4	U+1264
𒂗	<?>	4	U+2097
𒁕	<?>	4	U+2055
ታ	<?>	4	U+1273
𒌨	<?>	4	U+2328
𒋾	<?>	4	U+22fe
𒅅	<?>	4	U+2145
S	<?>	4	U+0053
𒌋	<?>	4	U+230b
ܨ	<?>	4	U+0728
au	au	4	U+0061 U+0075
mm	mm	4	U+006d U+006d
𐤃	<?>	4	U+0903
ء	<?>	4	U+0621
ዱ	<?>	4	U+12f1
ህ	<?>	4	U+1205
ک	<?>	4	U+06a9
𒉺	<?>	4	U+227a
ף	<?>	4	U+05e3
𐎒	<?>	4	U+0392
nn	nn	4	U+006e U+006e
ր	<?>	4	U+0580
ⲁ	<?>	4	U+2c81
𒅤	<?>	4	U+2164
մ	<?>	4	U+0574
𒋫	<?>	4	U+22eb
𐪚	<?>	4	U+0a9a
շ	<?>	4	U+0577
𒈨	<?>	4	U+2228
ie	ie	4	U+0069 U+0065
L	<?>	4	U+004c
𒌉	<?>	4	U+2309
ና	<?>	4	U+1293
н	<?>	4	U+043d
ܹ	<?>	4	U+0739
ࡐ	<?>	4	U+0850
ꜥ	<?>	4	U+a725
𒌷	<?>	4	U+2337
ვ	<?>	4	U+10d5
𐪍	<?>	4	U+0a8d
ɛ	ɛ	4	U+025b
yu	yu	4	U+0079 U+0075
ղ	<?>	4	U+0572
ࠀ	<?>	4	U+0800
ሠ	<?>	4	U+1220
𒋻	<?>	4	U+22fb
ꜥs	<?>	4	U+a725 U+0073
ṯ̣	<?>	4	U+1e6f U+0323
ፅ	<?>	4	U+1345
𐩤	<?>	3	U+0a64
rr	rr	3	U+0072 U+0072
ź	<?>	3	U+017a
é	é	3	U+00e9
𒈤	<?>	3	U+2224
α	<?>	3	U+03b1
‎	<?>	3	U+200e
ئ	<?>	3	U+0626
ö	ö	3	U+00f6
𒁁	<?>	3	U+2041
𒊬	<?>	3	U+22ac
C	<?>	3	U+0043
