NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_POS
1	-oth			
2	supines			
3	singulative			
4	2English			
5	this			
6	Unknown			
7	to			
8	-ness			
9	feminine			
10	rasm			
11	lightning			
12	gleam			
13	field			
14	door			
15	body			
16	Bar			
17	virgin			
18	given name			
19	maiden			
20	house			
21	roof			
22	1English			
23	beth			
24	husband			
25	lord			
26	master			
27				
28	owner			
29	mistress			
30	lady			
31	wife			
32	idle			
33	hero			
34	cease			
35	twist			
36	venomous			
37	snake			
38	serpent			
39	son			
40	coffee beans			
41	create			
42	daughter			
43	twenty			
44	knee			
45	lie down			
46	benediction			
47	kneel			
48	anatomy			
49	well			
50	in			
51	exist			
52	someone			
53	language code			
54	come			
55	Arabic			
56	father			
57	Ugaritic			
58	reed			
59	byssus			
60	fine			
61	twilled			
62	cotton			
63	blood			
64	damp			
65	coat			
66	regret			
67	grass			
68	species			
69	botany			
70	papery			
71	genus			
72	club			
73	bear			
74	creep			
75	side			
76	turn			
77	collect			
78	back			
79	fundament			
80	throw down			
81	strike			
82	thunder			
83	storm			
84	go			
85	destroyed			
86	proceed			
87	toward			
88	liver			
89	innards			
90	charge			
91	angry			
92	belly			
93	star			
94	astronomy			
95	asterisk			
96	dog			
97	law			
98	wing			
99	hand			
100	enclose			
101	palm			
102	wooden			
103	paunch			
104	wrinkle			
105	tripe			
106	stomach			
107	be			
108	stationary			
109	copulative			
110	beaker			
111	cup			
112	glass			
113	drinking			
114	lyre			
115	Hinduism			
116	music			
117	krar			
118	harp			
119	claw			
120	poetic			
121	lion			
122	lioness			
123	Libya			
124	turnip			
125	bend			
126	wind			
127	Sumerogram			
128	knead			
129	night			
130	evening			
131	nighttime			
132	childish			
133	heart			
134	pulp			
135	tongue			
136	for			
137	family			
138	god			
139	English			
140	chemistry			
141	doubt			
142	no			
143	king			
144	melik			
145	regional			
146	sweet			
147	sweetness			
148	die			
149	dead			
150	Dead			
151	man			
152	skin			
153	grab			
154	sheepskin			
155	blanket			
156	even if			
157	extent			
158	from			
159	of			
160	mother			
161	protasis			
162	what			
163	hundred			
164	I			
165	water			
166	table			
167	inwards			
168	gut			
169	fountain			
170	Maine			
171	intestine			
172	bowels			
173	foal			
174	settle			
175	filly			
176	camels			
177	colt			
178	person			
179	men			
180	yesterday			
181	last night			
182	head			
183	skull			
184	crown			
185	soon			
186	mind			
187	marrow			
188	brain			
189	clod			
190	bread			
191	thick			
192	winnow			
193	earth			
194	May			
195	without			
196	significance			
197	call			
198	separate			
199	collective			
200	river			
201	leopard			
202	tiger			
203	blemish			
204	blow			
205	life			
206	throat			
207	breath			
208	priceless			
209	chance			
210	self			
211	subject			
212	soul			
213	whittle			
214	carve			
215	prepare			
216	reproach			
217	cat			
218	dispel			
219	divine			
220	snort			
221	snore			
222	dolphin			
223	we			
224	attached			
225	light			
226	Rōmaji			
227	they			
228	fire			
229	Candle			
230	open			
231	to open			
232	mouth			
233	here			
234	Old South Arabian			
235	mouse			
236	lascivious			
237	stallion			
238	donkey			
239	fruit			
240	nose			
241	forehead			
242	group			
243	wide			
244	wig			
245	thence			
246	face			
247	flea			
248	insect			
249	expand			
250	throw			
251	high			
252	highlands			
253	lie			
254	aspire			
255	geography			
256	agriculture			
257	beginning			
258	first			
