ID	COGID	DOCULECT	VALUE	FORM	CONCEPT	WORD_TYPE
1	1	Proto-Semitic	-at-	-at-	-oth	None
2	1	Akkadian	-(a)tum	-𒌈	supines	None
3	1	Gulf Arabic	-a	ـة	singulative	None
4	1	Maltese	-tā,-ṯā	-a	English	Pronoun
5	1	Classical Syriac	-tā,-ṯā	ـܬܳܐ	this	Pronoun
6	1	Classical Syriac	-īṯā	ـܻܝܬܳܐ	Unknown	None
7	1	Classical Syriac	-ūṯā	ـܽܘܬܳܐ	Unknown	None
8	1	Yiddish	-e	־ה	to	Pronoun
9	1	Hebrew	-ít, -îṯ	־ִית	problematicmsg	None
10	1	Yiddish	-es	־ות	-ness	None
11	11	Proto-Semitic	-ay-	-ay-	feminine	None
12	11	Arabic	-ā	ـَى	rasm	None
13	11	Classical Syriac	-ayā	ـܰܝܳܐ	Unknown	None
14	14	Proto-Semitic	baraḳ-	baraḳ-	lightning	Noun
15	14	Akkadian	birqum	𒉏𒄈	lightning	Noun
16	14	Hijazi Arabic	barg	برق	lightning	Verb
17	14	Maltese	barq	beraq	lightning	Noun
18	14	Moroccan Arabic	barq	برق	lightning	Verb
19	14	South Levantine Arabic	barq	برق	lightning	Verb
20	14	Ottoman Turkish	berk	برق	lightning	Verb
21	14	Persian	barq	برق	lightning	Verb
22	14	Classical Mandaic	birqā	ࡁࡉࡓࡒࡀ	Unknown	None
23	14	Classical Syriac	barqā	ܒܱ݁ܪܩܳܐ	lightning	Noun
24	14	Hebrew	barák, bārāq	בָּרָק	gleam	Verb
25	14	Punic	brq	𐤁𐤓𐤒	Unknown	None
26	14	Ugaritic	brq	𐎁𐎗𐎖	lightning	Noun
27	14	Old South Arabian	brq	𐩨𐩧𐩤	lightning	Noun
28	14	Amharic	bärḳ	በርቅ	Unknown	None
29	14	Ge'ez	bärḳ	በርቅ	Unknown	None
30	14	Tigrinya	bärḳi	በርቂ	Unknown	None
31	14	Tigre	bärḳ	በርቅ	Unknown	None
32	14	Mehri	barq	bōreq	Unknown	None
33	14	Shehri	barq	barq	Unknown	None
34	14	Soqotri	ebrēce	barq	Unknown	None
35	14	Coptic	ebrēce	ⲉⲃⲣⲏϭⲉ	lightning	Noun
36	36	Proto-Semitic	barr-	barr-	field	Noun
37	36	Akkadian	barrum	𒁉𒊒𒌑	Unknown	None
38	36	Arabic	barr	بَرّ	door	Verb
39	36	Classical Syriac	barrā	ܒܱ݁ܪܴ݁ܐ	create	Verb
40	36	Hebrew	bar	בַּר	outside	Noun
41	36	Old South Arabian	br	𐩨𐩧	field	Noun
42	36	Tigre	barr	ባር	Unknown	None
43	43	Proto-Semitic	batūl-	batūl-	virgin	Noun
44	43	Turkish	betulá	Betül	given name	None
45	43	Yiddish	psule	בְּתוּלָה	Unknown	None
46	43	Aramaic	bəṯūltā	בתולתא	virgin	Noun
47	43	Ugaritic	batūlatu	𐎁𐎚𐎍𐎚	Unknown	Noun
48	48	Proto-Semitic	bayt-	bayt-	house	Noun
49	48	Akkadian	bītum	𒂍	house	Noun
50	48	Egyptian Arabic	bēt	بيت	house	Verb
51	48	Gulf Arabic	bēt	بيت	house	Verb
52	48	Hijazi Arabic	bēt	بيت	house	Verb
53	48	Maltese	bīt	bejt	roof	Verb
54	48	Moroccan Arabic	bīt	بيت	house	Verb
55	48	Moroccan Arabic	bayt	بيت	house	Verb
56	48	Azerbaijani	bait	beyt	1English	Noun
57	48	Malay	bayṯā	bait	1English	Verb
58	48	Classical Syriac	baytā	ܒܱ݁ܝܬܴ݁ܐ	house	Verb
59	48	Lishana Deni	bēṯa	ביתא	house	Noun
60	48	Mandaic	bīt	ࡁࡉࡕ	house	Noun
61	48	Central Neo-Aramaic	bayto	ܒܰܝܬܳܐ	house	Verb
62	48	Sabaean	byt	𐩨𐩺𐩩	house	Noun
63	48	Hebrew	báyit, báyiṯ	בַּיִת	beth	Verb
64	48	Punic	bt	𐤁𐤕	house	Noun
65	48	Ugaritic	bt	𐎁𐎚	house	Noun
66	48	Amharic	bet	ቤት	house	Noun
67	48	Ge'ez	bet	ቤት	house	Noun
68	48	Tigrinya	bet	ቤት	house	Noun
69	69	Proto-Semitic	baʕl-	baʕl-	Baal	Noun
70	69	Akkadian	bēlum	𒂗	lord	Noun
71	69	Arabic	baʕl	بَعْل	husband	Noun
72	69	Classical Syriac	baʿlā	ܒܱ݁ܥܠܳܐ	lord	Noun
73	69	Hebrew	bá'al, báʿal	בַּעַל	master	Verb
74	69	Punic	bʿl	𐤁𐤏𐤋	lord	Noun
75	69	Ugaritic	bʿl	𐎁𐎓𐎍	lord	Noun
76	69	Ugaritic	ba-ʾa-lu	𒁀𒀪𒇻	Unknown	None
77	69	Ugaritic	bʿl	[1]		None
78	69	Old South Arabian	bʿl	𐩨𐩲𐩡	lord	Noun
79	69	Amharic	bal	ባል	husband	Noun
80	69	Ge'ez	bäʿal	በዓል	owner	Noun
81	69	Tigrinya	bäʿal	በዓል	owner	Noun
82	69	Mehri	abɛ́li	bāl	Unknown	None
83	69	Mehri	báʕal	abɛ́li	Unknown	None
84	69	Shehri	bʕéhl	báʕal	Unknown	None
85	69	Shehri	ʔɔʕź	bʕéhl	Unknown	None
86	69	Shehri	ʔɔ̄ʕź	ʔɔʕź	Unknown	None
87	69	Shehri	ʔɔ́ʕɔź	ʔɔ̄ʕź	Unknown	None
88	69	Shehri	baʕ-	ʔɔ́ʕɔź	Unknown	None
89	69	Soqotri	di-báḥlʼe	baʕ-	Unknown	None
90	69	Soqotri	báʕlʼhi	di-báḥlʼe	Unknown	None
91	69	Soqotri	N/A	báʕlʼhi	Unknown	None
92	92	Proto-Semitic	baʕlat-	baʕlat-	mistress	Noun
93	92	Akkadian	bēltum	𒎏	lady	Noun
94	92	Arabic	baʕla	بَعْلَة	wife	Noun
95	92	Classical Syriac	baʿltā	ܒܱ݁ܥܠܬܴ݁ܐ	Unknown	None
96	92	Biblical Hebrew	baʿălâ	בַּעֲלָה	mistress	Noun
97	92	Biblical Hebrew	baʿălāṯ	בַּעֲלָת	Unknown	None
98	92	Phoenician	bʿlt	𐤁𐤏𐤋𐤕	Unknown	None
99	92	Ugaritic	bʿlt	𐎁𐎓𐎍𐎚	lady	Noun
