ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
3284	ps	'young of animals, larva'	*ḥarSap-	ħar-ap-	ħ a r a p		1628
985	ps	(a big poplar)	*ˀayl(-ān)-	ʔajl-	ʔ a j l		414
3535	akkadian	(a bird)	ḳú-ḳí-a-nu-um	qˤú-qˤí-a-nu-um	qˤ ú qˤ í a n u u m		1732
416	akkadian	(a characteristic such as brilliance)	šērtu	ʃeːrtu	ʃ eː r t u		95
1293	akkadian	(a disease)	laˀbu	laʔbu	l a ʔ b u		550
1578	ps	(a lizard)	*ḥVmṭ-	ħ-mtˤ-	ħ m tˤ		659
1582	ps	(a lizard)	*ḥVrd/ḏān-	ħ-rd	ħ r d		660
1038	ps	(a plant belonging to cucurbits)	*ḳVṯ(ṯ)Vˀ-	qˤ-θ-ʔ-	qˤ θ ʔ		478
1040	hebrew	(a plant belonging to cucurbits)	ḳiššūˀīm	qˤiʃʃuːʔiːm	qˤ i ʃ ʃ uː ʔ iː m		478
1043	geez	(a plant belonging to cucurbits)	ḳʷəsyāt	qˤʷəsjaːt	qʷˤ ə s j aː t		478
964	ps	(a plant)	*ḥVlp(-at)-	ħ-lp-	ħ l p		405
997	ps	(a plant)	*ˁarˁar-	ʕarʕar-	ʕ a r ʕ a r		424
728	akkadian	(a synonym for lord, master)	baˀlīyu	baʔliːju	b a ʔ l iː j u		335
976	ps	(a thorny plant)	*ˀaṭad-	ʔatˤad-	ʔ a tˤ a d		409
978	hebrew	(a thorny plant)	ˀāṭād	ʔaːtˤaːd	ʔ aː tˤ aː d		409
979	syriac	(a thorny plant)	ˀaṭādā	ʔatˤaːdaː	ʔ a tˤ aː d aː		409
1219	akkadian	(a worm)	urbatu	urbatu	u r b a t u		526
1033	akkadian	(an alliaceous plant)	giršānu	girʃaːnu	g i r ʃ aː n u		477
3836	ps	(animal's) body from neck to rump	*labb(-at)-, *lab(y)-ān-	labb-	l a b b		1911
2992	ps	(animal) fat	*ṯarb-	θarb-	θ a r b		1479
53	syriac	(aph.) to give drink, to irrigate	šḳy	ʃqˤj	ʃ qˤ j		9
2775	syriac	(aph.) to make dwell	gnn	gnn	g n n		1175
2228	syriac	(aph.) to scoff, mock; to despise, disdain; to praise	hll	hll	h l l		948
925	ugaritic	(basic stem) to accept or perform a property transfer, to succeed, to effect an exchange of goods; (intensive stem) to place obstacles, traps, to oppose	ˁḳb	ʕqˤb	ʕ qˤ b		394
3998	akkadian	(city) wall	dūru	duːru	d uː r u		2023
549	arabic	(clarified) butter	samn-	samn-	s a m n		150
1250	arabic	(cooking) pit	burat-	burat-	b u r a t		534
3406	ps	(dead) body, back (of body)	*gVn(ā)z(-at)-	g-nz-	g n z		1683
297	ps	(deictic element)	*hanni-	hanni-	h a n n i		60
2365	ps	(dry cow's) dung	*kVbVw-	k-b-w-	k b w		986
4188	ugaritic	(du.) millstone	rḥm	rħm	r ħ m		2157
4189	hebrew	(du.) millstone	rēḥayim	reːħajim	r eː ħ a j i m		2157
636	syriac	(etp.) to be drawn together, pressed together	ˁms	ʕms	ʕ m s		220
1264	syriac	(etp.) to get a respite	npš	npʃ	n p ʃ		540
3607	ps	(feminine) genital organ, uterus	*ḥann(-at)-	ħann-	ħ a n n		1759
604	ps	(front part of) body; chest, belly; interior	*gaw(w)iˀ-	gawiʔ-	g a w i ʔ		199
4094	akkadian	(green) dry mucus, nasal discharge	ḫaṣartu	xasˤartu	x a sˤ a r t u		2089
816	ugaritic	(head of) cattle; bullock; yearling calf, young (head of) cattle	ˀalp	ʔalp	ʔ a l p		362
2353	hebrew	(hip. part.) to pass water, urinate	maštīn	maʃtiːn	m a ʃ t iː n		984
792	hebrew	(hip.) to bring	ybl	jbl	j b l		353
2188	hebrew	(hip.) to harass, press hard; to drive someone into a corner	ṣwḳ	sˤwqˤ	sˤ w qˤ		932
797	hebrew	(hip.) to multiply	kbr	kbr	k b r		354
2283	hebrew	(hitpa.) to scrape oneself	grd	grd	g r d		967
2213	hebrew	(hitpo.) to vomit loudly	gˁš	gʕʃ	g ʕ ʃ		945
4184	hebrew	(hop. part.) mixed	murbäkät	murbækæt	m u r b æ k æ t		2156
592	ps	(jugular) vein, trachea	*warīd-	wariːd-	w a r iː d		192
3285	akkadian	(kind of worms or larvae)	ḫarsapnu	xarsapnu	x a r s a p n u		1628
1160	akkadian	(kind of) bat	arkabu	arkabu	a r k a b u		504
3883	ps	(kind of) disease causing scales on the skin; leprosy	*š/sVl(V)ˁ-	ʃ	ʃ		1979
2413	ps	(kind of) skin disease	*ṣVrnVˁ-at-	sˤ-rn-ʕ-at-	sˤ r n ʕ a t		1006
2435	ps	(kind of) skin disease	*bVhVḳ-	b-h-qˤ-	b h qˤ		1011
2164	ugaritic	(light war) chariot; chariot body	mrkbt	mrkbt	m r k b t		897
918	ps	(lock/tuft of) hair, curl, fleece	*ˁidḳ-	ʕidqˤ-	ʕ i d qˤ		392
3373	ps	(long) hair, mane	*ga/umm(-at-)-	ga	g a		1656
1406	ps	(meaning is uncertain)	*parr(-at)-	parr-	p a r r		594
2889	hebrew	(nip.) to be entangled with one another, to wrestle; to be tortuous, astute	ptl	ptl	p t l		1329
3803	hebrew	(nip.) to be obstructed	skr	skr	s k r		1880
3664	hebrew	(nip.) to be separated; (pi.) to split, to make a furrow	plg	plg	p l g		1805
1263	hebrew	(nip.) to breathe freely, recover	npš	npʃ	n p ʃ		540
52	hebrew	(nip., hip.) to provide drink for, to irrigate	šḳy	ʃqˤj	ʃ qˤ j		9
2466	syriac	(pa.) to break wind	ˁrṭ	ʕrtˤ	ʕ r tˤ		1023
667	syriac	(pa.) to exalt; to raise up	ˁly	ʕlj	ʕ l j		268
2929	syriac	(pa.) to inflame, excite	bḥr	bħr	b ħ r		1381
2189	syriac	(pa.) to oppress	ˁwḳ	ʕwqˤ	ʕ w qˤ		932
1566	syriac	(pa.) to pillage, steal; to draw out, extract	ḥlṣ	ħlsˤ	ħ l sˤ		653
3766	syriac	(pa.) to sanctify, deem holy	ḳdš	qˤdʃ	qˤ d ʃ		1864
2693	ps	(part or bone of the) leg of animal	*gVd-at-	g-d-at-	g d a t		1095
1930	hebrew	(pi.) destroy	ḥlḳ	ħlqˤ	ħ l qˤ		794
3709	hebrew	(pi.) to bear firstfruits	bkr	bkr	b k r		1832
2878	hebrew	(pi.) to break open arable soil, to dig furrows	ptḥ	ptħ	p t ħ		1326
2838	hebrew	(pi.) to bring good tidings	bšr	bʃr	b ʃ r		1312
2884	hebrew	(pi.) to engrave	ptḥ	ptħ	p t ħ		1328
2615	hebrew	(pi.) to fan, winnow, sift	npy	npj	n p j		1065
3680	hebrew	(pi.) to penetrate, to perforate	plš	plʃ	p l ʃ		1819
3359	ps	(piece of) skin	*gu/alb-	gu	g u		1653
1057	arabic	(pl. banātu ˀāwān) jackal	ˀibnu ˀāwan	ʔibnu	ʔ i b n u		481
892	arabic	(pl. ˀarāwiyy, ˀarwā) mountaingoat	ˀurwiyyat-	ʔurwijjat-	ʔ u r w i j j a t		382
920	syriac	(pl. ˁedḳē; ˁetḳē) lock of hair; fringes	ˁedḳətā	ʕedqˤətaː	ʕ e d qˤ ə t aː		392
1169	syriac	(pl.) kleine Tierchen, die im Brunnen leben (small animals that live in a well)	ˁalḳe	ʕalqˤe	ʕ a l qˤ e		506
2811	arabic	(pl.) malheur, adversité, infortune (misfortune, adversity)	dibār-	dibaːr-	d i b aː r		1224
812	arabic	(pl.) nom d'oiseaux fabuleux (name of fabulous birds)	ˀabābīl-	ʔabaːbiːl-	ʔ a b aː b iː l		361
4073	hebrew	(pu.) to be covered (with precious stones); to fall into a swoon, (hitpa.) to wrap oneself up; to become faint	ˁlp	ʕlp	ʕ l p		2083
2475	hebrew	(pu., hitp.) to behave like a madman	šgˁ	ʃgʕ	ʃ g ʕ		1025
2456	hebrew	(qal, hitp.) to cough	šˁl	ʃʕl	ʃ ʕ l		1021
660	hebrew	(qal, pi.) to love, to meet someone with love, to take pity on someone	rḥm	rħm	r ħ m		266
2005	ps	(stiff) hair	*γapar-	ɣapar-	ɣ a p a r		832
473	ps	(to be) good	*ṭyb/ṭwb	tˤjb	tˤ j b		116
2135	ps	(to be) weak	*ˀnš	ʔnʃ	ʔ n ʃ		864
973	ps	(type of a tree)	*bay(a)n-	bajn-	b a j n		407
3383	ps	(wild) cat	*dVm(V)m-	d-mm-	d m m		1660
890	ps	(wild) goat gazelle	*ˀarwiy-	ʔarwij-	ʔ a r w i j		382
3505	ps	(young of) ungulate	*w/yaˁr-, *w/yarˁ-	w	w		1723
3493	ps	(young) bull	*ṭaγ-	tˤaɣ-	tˤ a ɣ		1718
2665	hebrew	(young) ram	kar	kar	k a r		1077
3720	arabic	= rašaḥa 'to leak, to ooze (of water)'	baṣṣa l-māˀu	basˤsˤa	b a sˤ sˤ a		1834
735	ps	?	*šry/šrw	ʃrj	ʃ r j		338
2494	hebrew	???	kallā	kallaː	k a l l aː		1034
803	ugaritic	Appetit, Begehren; Seele; Lebewesen, Mensch (appetit, desire; soul; living thing; human)	npš	npʃ	n p ʃ		356
1716	ugaritic	Brust	dd	dd	d d		721
3942	ugaritic	D. to oppress, to subdue	dll	dll	d l l		2000
3949	akkadian	D. to pulverize, to crash	duḳḳuḳu	duqˤqˤuqˤu	d u qˤ qˤ u qˤ u		2004
2900	akkadian	Darm	erru	erru	e r r u		1336
2270	akkadian	Entzündung	ḳidḫu	qˤidxu	qˤ i d x u		964
142	ps	I	*ˀanāku/ˀanV	ʔanaːku	ʔ a n aː k u		30
143	akkadian	I	anāku	anaːku	a n aː k u		30
144	ugaritic	I	ˀan, ˀank	ʔan	ʔ a n		30
145	hebrew	I	ˀănī	ʔăniː	ʔ ă n iː		30
146	hebrew	I	ˀānōkī	ʔaːnoːkiː	ʔ aː n oː k iː		30
147	syriac	I	ˀenā	ʔenaː	ʔ e n aː		30
148	arabic	I	ˀana	ʔana	ʔ a n a		30
149	geez	I	ˀana	ʔana	ʔ a n a		30
407	geez	I do not know; perhaps, probably	ˀəndāˁi	ʔəndaːʕi	ʔ ə n d aː ʕ i		90
2755	arabic	II. avoir les membres du corps lâches, sans vigeur (to have loose body members, without vigor)	fšḫ	fʃx	f ʃ x		1119
2273	arabic	II. s’enfoncer dans l’orbite (se dit de l’oeil); amaigrir exprès (son cheval) (to sink into the orbit (said of the eye); to lose weight on purpose (of horse)	qdḥ	qdħ	q d ħ		964
578	arabic	II. to appoint as one’s deputy	wkl	wkl	w k l		168
2839	arabic	II. to bring good tidings	bšr	bʃr	b ʃ r		1312
3193	arabic	II. to collect	ǯmr	gmr	g m r		1597
678	arabic	II. to delay, postpone; to make smb retreat; to be late; go back	ˀḫr	ʔxr	ʔ x r		290
2250	arabic	II. to feed the woman on the occasion of childbirth	ḫrs	xrs	x r s		960
3767	arabic	II. to sanctify, consecrate, purify	qds	qds	q d s		1864
3169	arabic	III. to double	ḍˁf	dˤʕf	dˤ ʕ f		1591
3173	arabic	III. to flee	blṭ	bltˤ	b l tˤ		1592
3551	arabic	III. to vie, to compete for superiority; to emulate, to rival, to imitate	bry	brj	b r j		1737
2268	arabic	IV. avoir du lait (se dit d'une chamelle) (to have milk (said of a camel)	ḫyl	xjl	x j l		962
2749	arabic	IV. to be violent and drive along the dust and pebbles (about wind)	nsb	nsb	n s b		1117
3598	arabic	IV. to blame, to censure	fry	frj	f r j		1754
2654	arabic	IV. to boil unripe dates	bsl	bsl	b s l		1071
2809	arabic	IV. to go backward, to a bad state; to die	dbr	dbr	d b r		1224
2869	arabic	IV. to split, to cleave	frr	frr	f r r		1321
3001	akkadian	Kopffell (?); Fell an Hornwurzel	sappartu	sappartu	s a p p a r t u		1494
3544	akkadian	Kranich (crane)	urnīḳu	urniːqˤu	u r n iː qˤ u		1735
3351	arabic	Numidian crane	kurkiyy-	kurkijj-	k u r k i j j		1650
3476	hebrew	Saraph serpent	ŝārāp	ɬaːraːp	ɬ aː r aː p		1708
2191	akkadian	Taumelnder	dāwû	daːwû	d aː w û		939
1265	arabic	V. to breathe	tanaffasa	tanaffasa	t a n a f f a s a		540
2558	arabic	V. to smack one’s lips	mṭq	mtˤq	m tˤ q		1049
2299	arabic	V. to wish, desire	mny	mnj	m n j		972
3568	arabic	VII. to be dislocated (the head of the humerus from its scapula), to be lax or slack (the shoulderjoint)	frk	frk	f r k		1744
3871	arabic	VII. to become lean, emaciated; VIII. to become poor, in want or need	fwq	fwq	f w q		1950
3604	ps	a (mythical) aquatic reptile	*kVS-	k---	k		1758
811	akkadian	a bird	ibbiltu	ibbiltu	i b b i l t u		361
825	akkadian	a bird	anpatu	anpatu	a n p a t u		365
2673	akkadian	a bird	enšupu	enʃupu	e n ʃ u p u		1080
2684	akkadian	a bird	tarru	tarru	t a r r u		1087
3288	akkadian	a bird	nēru	neːru	n eː r u		1629
3319	akkadian	a bird	naṣnaṣu	nasˤnasˤu	n a sˤ n a sˤ u		1641
3425	akkadian	a bird	gamgammu	gamgammu	g a m g a m m u		1689
3534	akkadian	a bird	ḳāḳû	qˤaːqˤû	qˤ aː qˤ û		1732
3306	hebrew	a bird fattened to be eaten by king Solomon	barbūr	barbuːr	b a r b uː r		1636
827	syriac	a bird; large vulture, eagle	ˀanpā	ʔanpaː	ʔ a n p aː		365
3802	ugaritic	a bolt	skr	skr	s k r		1880
2663	akkadian	a breed of sheep(?)	kirru	kirru	k i r r u		1077
2805	akkadian	a calamity	dibiru	dibiru	d i b i r u		1224
586	arabic	a certain land ... extending to the sea (Tihámeh)	tihāmat-	tihaːmat-	t i h aː m a t		171
2180	arabic	a child, son, young one	walad-	walad-	w a l a d		901
4040	akkadian	a cripple	kuṣṣudu	kusˤsˤudu	k u sˤ sˤ u d u		2047
1010	ps	a cultivated plant, shoot, seed, grain, cereal, vegetable	*bVḳl-	b-qˤl-	b qˤ l		434
1734	hebrew	a designation of Noah’s Ark	ṣōhar	sˤoːhar	sˤ oː h a r		726
2802	akkadian	a disease (affecting the head, vision, etc.)	ašû	aʃû	a ʃ û		1220
3478	akkadian	a dove	suššuru	suʃʃuru	s u ʃ ʃ u r u		1709
3619	akkadian	a falcon	kasūsu, kassūsu	kasuːsu	k a s uː s u		1765
661	hebrew	a feeling of love, loving sensation, mercy	raḥămīm	raħămiːm	r a ħ ă m iː m		266
1106	akkadian	a fine breed of sheep	alu	alu	a l u		495
2192	akkadian	a grave disease characterized by a headache	diˀu	diʔu	d i ʔ u		939
2660	akkadian	a green winged insect; a bird	ḫanzizītu	xanziziːtu	x a n z i z iː t u		1076
1251	arabic	a hole dug in the ground in which to cook; a place in which fire is lighted	b1ˀrat-	bʔrat-	b ʔ r a t		534
3387	hebrew	a kind of bird (swallow, dove)	dərōr	dəroːr	d ə r oː r		1669
3996	ps	a kind of enclosure	*dVwr-	d-wr-	d w r		2023
1962	ps	a kind of mushroom	*kamˀ-at-	kamʔ-at-	k a m ʔ a t		811
1964	arabic	a kind of mushroom	kamˀat-	kamʔat-	k a m ʔ a t		811
3635	akkadian	a kind of owl	akkû	akkû	a k k û		1785
4093	ps	a kind of slime	γaṣ̂arat-	ɣaɬˤarat-	ɣ a ɬˤ a r a t		2089
992	arabic	a kind of tree	ˀalāˀ-	ʔalaːʔ-	ʔ a l aː ʔ		415
990	hebrew	a large tree; oak(?)	ˀēlōn	ʔeːloːn	ʔ eː l oː n		415
986	hebrew	a large tree; terebinth(?)	ˀēlā	ʔeːlaː	ʔ eː l aː		414
3274	ps	a large wild cat	*mV(n)dīn-	m-diːn-	m d iː n		1624
3631	hebrew	a linear measure, short cubit	gōmäd	goːmæd	g oː m æ d		1779
3299	akkadian	a locust	ḫilammu	xilammu	x i l a m m u		1633
3395	akkadian	a locust	saḫṭu	saxtˤu	s a x tˤ u		1676
3381	akkadian	a locust or bird; eine Art Heuschrecke (kind of grasshopper)	dimītu	dimiːtu	d i m iː t u		1659
1613	akkadian	a louse	nābu	naːbu	n aː b u		674
3272	akkadian	a louse affecting cloth, animals and people; a moth	miḳḳānu	miqˤqˤaːnu	m i qˤ qˤ aː n u		1623
686	ugaritic	a marine animal	ˀanḫr	ʔanxr	ʔ a n x r		314
3760	akkadian	a mark	šimtu	ʃimtu	ʃ i m t u		1863
2426	akkadian	a mark of discoloration on the skin	ibāru	ibaːru	i b aː r u		1009
2423	akkadian	a mole or wart	umṣatu	umsˤatu	u m sˤ a t u		1008
893	ps	a mythical reptile, dragon	*ˀaṯ(h)al-	ʔaθal-	ʔ a θ a l		383
1890	akkadian	a mythical seamonster	laḫmu	laxmu	l a x m u		785
3435	akkadian	a nocturnal bird	ṣallalu	sˤallalu	sˤ a l l a l u		1692
3390	hebrew	a parasite worm in the bowels	dūrā (dawwārā)	duːraː	d uː r aː		1674
3017	akkadian	a part of the intestinal tract	surummu	surummu	s u r u m m u		1506
2692	akkadian	a part of the liver	danānu	danaːnu	d a n aː n u		1093
3929	arabic	a particular law, a statute, an ordinance, a law	dīn-	diːn-	d iː n		1991
921	arabic	a piece of colored wool that is hung around the neck of an animal to recognize it	ˁaḏqat-, ˁiḏqat-	ʕaðqat-	ʕ a ð q a t		392
3834	arabic	a place on the back of the head where the hair ends; area of the breast where the ribs meet	qaṣāṣ-, quṣāṣ-, qiṣāṣ-	qasˤaːsˤ-	q a sˤ aː sˤ		1910
1042	arabic	a plant belonging to cucurbits	qiṯṯāˀ-, quṯṯāˀ-	qiθθaːʔ-	q i θ θ aː ʔ		478
3884	akkadian	a pockmark or wart	šullu	ʃullu	ʃ u l l u		1979
3122	arabic	a ring of gold or silver, an earring	ḫurṣ-/ḫirṣ-	xursˤ-	x u r sˤ		1571
4114	arabic	a ring or collar of iron, which is put upon the neck	γull-	ɣull-	ɣ u l l		2095
2885	arabic	a ring without a stone	fatḫat-	fatxat-	f a t x a t		1328
1391	arabic	a rope in which are two colors	barīm-	bariːm-	b a r iː m		579
3781	akkadian	a saw	šaššāru	ʃaʃʃaːru	ʃ a ʃ ʃ aː r u		1867
3782	hebrew	a saw	maŝŝōr	maɬɬoːr	m a ɬ ɬ oː r		1867
21	arabic	a shecamel great in the udder, but having little milk; a palmtree great in the trunk, thick in the branches; a house great in the yard and long therein	faḫūr-	faxuːr-	f a x uː r		3
2405	akkadian	a skin disease	epḳennu	epqˤennu	e p qˤ e n n u		1004
2414	akkadian	a skin disease	ṣernettu	sˤernettu	sˤ e r n e t t u		1006
2394	akkadian	a skin eruption	lamṣatu	lamsˤatu	l a m sˤ a t u		1002
3378	akkadian	a small animal, probably a frog	dālilu	daːlilu	d aː l i l u		1658
3379	akkadian	a small animal, probably a frog	dallālu	dallaːlu	d a l l aː l u		1658
3082	arabic	a small arrow	ḥaḏ̣w-at-/ḥuḏ̣w-at-/ḥiḏ̣w-at-	ħaðˤw-at-	ħ a ðˤ w a t		1559
3479	arabic	a small bird	šaršūr-	ʃarʃuːr-	ʃ a r ʃ uː r		1709
3519	hebrew	a small creatures that ruin the fields	zīz	ziːz	z iː z		1726
828	ps	a small predatory mammal	*ˀVnar-, *ˀVran-	ʔ-nar-	ʔ n a r		366
3125	ugaritic	a smith’s tongs	mṣbṭ	msˤbtˤ	m sˤ b tˤ		1573
3628	arabic	a snail	qawqan-	qawqan-	q a w q a n		1778
841	hebrew	a snake	ˀäpˁǟ	ʔæpʕæː	ʔ æ p ʕ æː		368
2678	akkadian	a snake	šibbu	ʃibbu	ʃ i b b u		1084
3418	akkadian	a snake	šammānu	ʃammaːnu	ʃ a m m aː n u		1687
1579	akkadian	a snake or lizard	ḫulmiṭṭu	xulmitˤtˤu	x u l m i tˤ tˤ u		659
3303	akkadian	a species of crested bird	bulīlu	buliːlu	b u l iː l u		1635
3243	arabic	a species of partrige	yaˁsūb-	jaʕsuːb-	j a ʕ s uː b		1610
3482	hebrew	a species of spider	šībay	ʃiːbaj	ʃ iː b a j		1711
4089	arabic	a strap in the leathern waterbag	γubṭat-	ɣubtˤat-	ɣ u b tˤ a t		2087
4164	arabic	a thing made obligatory or binding by God	farḍ-	fardˤ-	f a r dˤ		2140
2778	akkadian	a type of  shoe	mešēnu	meʃeːnu	m e ʃ eː n u		1193
2203	akkadian	a type of extatic	zabbu	zabbu	z a b b u		940
1560	hebrew	a venomous serpent	pätän	pætæn	p æ t æ n		650
