ID,Name,Description,ColumnSpec
-oth,-oth,,
supines,supines,,
singulative,singulative,,
2English,2English,,
this,this,,
Unknown,Unknown,,
to,to,,
-ness,-ness,,
feminine,feminine,,
rasm,rasm,,
lightning,lightning,,
gleam,gleam,,
field,field,,
door,door,,
body,body,,
Bar,Bar,,
virgin,virgin,,
given_name,given name,,
maiden,maiden,,
house,house,,
roof,roof,,
1English,1English,,
beth,beth,,
husband,husband,,
lord,lord,,
master,master,,
owner,owner,,
mistress,mistress,,
lady,lady,,
wife,wife,,
idle,idle,,
hero,hero,,
cease,cease,,
twist,twist,,
venomous,venomous,,
snake,snake,,
serpent,serpent,,
son,son,,
coffee_beans,coffee beans,,
create,create,,
daughter,daughter,,
twenty,twenty,,
knee,knee,,
lie_down,lie down,,
benediction,benediction,,
kneel,kneel,,
anatomy,anatomy,,
well,well,,
in,in,,
exist,exist,,
someone,someone,,
language_code,language code,,
come,come,,
Arabic,Arabic,,
father,father,,
Ugaritic,Ugaritic,,
reed,reed,,
byssus,byssus,,
fine,fine,,
twilled,twilled,,
cotton,cotton,,
blood,blood,,
damp,damp,,
coat,coat,,
regret,regret,,
grass,grass,,
species,species,,
botany,botany,,
papery,papery,,
genus,genus,,
club,club,,
bear,bear,,
creep,creep,,
side,side,,
turn,turn,,
collect,collect,,
back,back,,
fundament,fundament,,
throw_down,throw down,,
strike,strike,,
thunder,thunder,,
storm,storm,,
go,go,,
destroyed,destroyed,,
proceed,proceed,,
toward,toward,,
liver,liver,,
innards,innards,,
charge,charge,,
angry,angry,,
belly,belly,,
star,star,,
astronomy,astronomy,,
asterisk,asterisk,,
dog,dog,,
law,law,,
wing,wing,,
hand,hand,,
enclose,enclose,,
palm,palm,,
wooden,wooden,,
paunch,paunch,,
wrinkle,wrinkle,,
tripe,tripe,,
stomach,stomach,,
be,be,,
stationary,stationary,,
copulative,copulative,,
beaker,beaker,,
cup,cup,,
glass,glass,,
drinking,drinking,,
lyre,lyre,,
Hinduism,Hinduism,,
music,music,,
krar,krar,,
harp,harp,,
claw,claw,,
poetic,poetic,,
lion,lion,,
lioness,lioness,,
Libya,Libya,,
turnip,turnip,,
bend,bend,,
wind,wind,,
Sumerogram,Sumerogram,,
knead,knead,,
night,night,,
evening,evening,,
nighttime,nighttime,,
childish,childish,,
heart,heart,,
pulp,pulp,,
tongue,tongue,,
for,for,,
family,family,,
god,god,,
English,English,,
chemistry,chemistry,,
doubt,doubt,,
no,no,,
king,king,,
melik,melik,,
regional,regional,,
sweet,sweet,,
sweetness,sweetness,,
die,die,,
dead,dead,,
Dead,Dead,,
man,man,,
skin,skin,,
grab,grab,,
sheepskin,sheepskin,,
blanket,blanket,,
even_if,even if,,
extent,extent,,
from,from,,
of,of,,
mother,mother,,
protasis,protasis,,
what,what,,
hundred,hundred,,
I,I,,
water,water,,
table,table,,
inwards,inwards,,
gut,gut,,
fountain,fountain,,
Maine,Maine,,
intestine,intestine,,
bowels,bowels,,
foal,foal,,
settle,settle,,
filly,filly,,
camels,camels,,
colt,colt,,
person,person,,
men,men,,
yesterday,yesterday,,
