ID	COGID	DOCULECT	VALUE	FORM	CONCEPT
1	1	Proto-Semitic	-at-	-at-	-oth
2	1	Akkadian	-(a)tum	-𒌈	supines
3	1	Gulf Arabic	-a	ـة	singulative
4	1	Maltese	-tā,-ṯā	-a	2English
5	1	Classical Syriac	-tā,-ṯā	ـܬܳܐ	this
6	1	Classical Syriac	-īṯā	ـܻܝܬܳܐ	Unknown
7	1	Classical Syriac	-ūṯā	ـܽܘܬܳܐ	Unknown
8	1	Yiddish	-e	־ה	to
9	1	Hebrew	-ít, -îṯ	־ִית	Unknown
10	1	Yiddish	-es	־ות	-ness
11	11	Proto-Semitic	-ay-	-ay-	feminine
12	11	Arabic	-ā	ـَى	rasm
13	11	Classical Syriac	-ayā	ـܰܝܳܐ	Unknown
14	14	Proto-Semitic	baraḳ-	baraḳ-	lightning
15	14	Akkadian	birqum	𒉏𒄈	lightning
16	14	Hijazi Arabic	barg	برق	lightning
17	14	Maltese	barq	beraq	lightning
18	14	Moroccan Arabic	barq	برق	lightning
19	14	South Levantine Arabic	barq	برق	lightning
20	14	Ottoman Turkish	berk	برق	lightning
21	14	Persian	barq	برق	lightning
22	14	Classical Mandaic	birqā	ࡁࡉࡓࡒࡀ	Unknown
23	14	Classical Syriac	barqā	ܒܱ݁ܪܩܳܐ	lightning
24	14	Hebrew	barák, bārāq	בָּרָק	gleam
25	14	Punic	brq	𐤁𐤓𐤒	Unknown
26	14	Ugaritic	brq	𐎁𐎗𐎖	lightning
27	14	Old South Arabian	brq	𐩨𐩧𐩤	lightning
28	14	Amharic	bärḳ	በርቅ	Unknown
29	14	Ge'ez	bärḳ	በርቅ	Unknown
30	14	Tigrinya	bärḳi	በርቂ	Unknown
31	14	Tigre	bärḳ	በርቅ	Unknown
32	14	Mehri	barq	bōreq	Unknown
33	14	Shehri	barq	barq	Unknown
34	14	Soqotri	ebrēce	barq	Unknown
35	14	Coptic	ebrēce	ⲉⲃⲣⲏϭⲉ	lightning
36	36	Proto-Semitic	barr-	barr-	field
37	36	Akkadian	barrum	𒁉𒊒𒌑	Unknown
38	36	Arabic	barr	بَرّ	door
39	36	Classical Syriac	barrā	ܒܱ݁ܪܴ݁ܐ	body
40	36	Hebrew	bar	בַּר	Bar
41	36	Old South Arabian	br	𐩨𐩧	field
42	36	Tigre	barr	ባር	Unknown
43	43	Proto-Semitic	batūl-	batūl-	virgin
44	43	Turkish	betulá	Betül	given name
